PHYLUM,LINEAGE,CLASS,ORDER,FAMILY,COMMON NAME,CODE (5 letter code),SCIENTIFIC NAME,TAXON ID (see NCBI),GENOME OR TRANSCRIPTOME?,TECHNOLOGY,SOURCE,ACCESSION NUMBER,REFERENCE,EXTRA INFO,C (ASSEMBLY),S (ASSEMBLY),D (ASSEMBLY),F (ASSEMBLY),M (ASSEMBLY),C+F (GOOD if >85*),Busco database,No. ISOFORMS,C (LONGEST),S (LONGEST),D (LONGEST),F (LONGEST),M (LONGEST),C+F (GOOD if >85*),Busco database,No. GENES,EggNOG-mapper,FANTASIA
ARTHROPODA,Chelicerata,Arachnida,Parasitiformes/Ixodida,Ixodidae,ticks & mites,ISCA1,Ixodes scapularis,6945,Genome,PacBio,NCBI Genome,GCF_002892825.2,,,-,-,-,-,-,-,-,-,96.2,67.2,29,0.6,3.2,96.8,metazoa_odb10,24501,19920,23549
ARTHROPODA,Chelicerata,Arachnida,Parasitiformes/Ixodida,Ixodidae,"Acari, Ticks",RSAN1,Rhipicephalus sanguineus,34632,Genome,PacBio Sequel,NCBI Genome,GCF_013339695.1,https://www.sciencedirect.com/science/article/pii/S0092867420309314?via3Dihub#tbl1,Chromosome level,-,-,-,-,-,-,-,-,97.2,66.7,30.5,1,1.8,98.2,metazoa_odb10,23509,18597,22916
ARTHROPODA,Chelicerata,Arachnida,Parasitiformes/Mesostigmata,Dermanyssidae,ticks & mites,DGAL1,Dermanyssus gallinae,34641,Transcriptome,454 GS FLX Titanium,NCBI SRA,SRR658515,,,94.3,45.9,48.4,1.3,4.4,95.6,metazoa_odb10,"20,743",89,85.1,3.9,1.2,9.8,90.2,metazoa_odb10,20743,10219,20567
ARTHROPODA,Chelicerata,Arachnida,Parasitiformes/Mesostigmata,Laelapidae,"Acari, Mites",TMER1,Tropilaelaps mercedesae,418985,Genome,Illumina HiSeq 2000 PE + MP,UniProt,UP000192247/GCA_002081605.1,,,-,-,-,-,-,-,-,-,89.3,88.5,0.8,4,6.7,93.3,metazoa_odb10,14303,10009,14232
ARTHROPODA,Chelicerata,Arachnida,Parasitiformes/Mesostigmata,Phytoseiidae,ticks & mites,GOCC1,Galendromus occidentalis,34638,Genome,454 XLR,NCBI Genome,GCF_000255335.1,,,-,-,-,-,-,-,-,-,96,90,6,0.7,3.3,96.7,metazoa_odb10,11616,10096,11250
ARTHROPODA,Chelicerata,Arachnida,Parasitiformes/Mesostigmata,Varroidae,ticks & mites,VDES1,Varroa destructor,109461,Genome,PacBio RSII; Illumina Sequencing,NCBI Genome,GCF_002443255.1,,,-,-,-,-,-,-,-,-,95.9,43.1,52.8,0.7,3.4,96.6,metazoa_odb10,10260,8413,10136
ARTHROPODA,Chelicerata,Arachnida,Parasitiformes/Mesostigmata,Varroidae,ticks & mites,VJAC1,Varroa jacobsoni,62625,Genome,Illumina HiSeq,NCBI Genome,GCF_002532875.1,,,-,-,-,-,-,-,-,-,96.2,49.5,46.7,0.7,3.1,96.9,metazoa_odb10,10739,8685,10646
ARTHROPODA,Chelicerata,Arachnida,Parasitiformes/Opiliocarida,Opilioacaridae,ticks & mites,NEOC1,Neocarus sp. MCZ IZ 162194,2900495,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR18036338,,,78.8,54.4,24.4,15.2,6,94,metazoa_odb10,,73.4,71.8,1.6,16,10.6,89.4,metazoa_odb10,25908,16638,25898
ARTHROPODA,Chelicerata,Arachnida,Parasitiformes/Opiliocarida,Opilioacaridae,ticks & mites,OPSP1,Opilioacaridae sp. CSL-2018,2480684,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR8080646,,,54.3,45.9,8.4,23.4,22.3,77.7,metazoa_odb10,"11,511",53.3,53.1,0.2,21.2,25.5,74.5,metazoa_odb10,11511,9195,11505
ARTHROPODA,Chelicerata,Arachnida,Parasitiformes/Opiliocarida,Opilioacaridae,ticks & mites,OTEX1,Opilioacarus texanus,91343,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR17074203,,,99.2,66.5,32.7,0.5,0.3,99.7,metazoa_odb10,,93.3,91.6,1.7,0.7,6,94,metazoa_odb10,19881,14213,19856
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Bochicidae,Pseudoscorpions,BWIT1,Bochica withi,2590525,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9332002,,,91.3,68.7,22.6,4.3,4.4,95.6,metazoa_odb10,"17,031",87.9,85.6,2.3,4.1,8,92,metazoa_odb10,17031,12798,16977
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Cheliferidae,Pseudoscorpions,PAPE1,Parachelifer persimilis,2590497,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9331990,,,63.4,43.6,19.8,23.2,13.4,86.6,metazoa_odb10,"22,643",56.9,54.7,2.2,23,20.1,79.9,metazoa_odb10,22643,16926,22639
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Cheliferidae,Pseudoscorpions,PROT2,Protochelifer sp. MCZ 49984,2590517,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9331996,,,87.7,30.6,57.1,8.2,4.1,95.9,metazoa_odb10,"19,235",75.6,73.8,1.8,9.9,14.5,85.5,metazoa_odb10,19235,12807,19221
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Feaellidae,Pseudoscorpions,CGEL1,Cybella gelanggi,2590503,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9331981,,,83.6,49.5,34.1,10.4,6,94,metazoa_odb10,"18,712",76,74,2,10.2,13.8,86.2,metazoa_odb10,18712,13691,18701
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Garypidae,Pseudoscorpions,SAPI1,Synsphyronus apimelus,534689,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1145733,,,77.2,48,29.2,13.5,9.3,90.7,metazoa_odb10,"21,454",76,74.2,1.8,12.2,11.8,88.2,metazoa_odb10,21454,14960,21386
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Gymnobisiidae,Pseudoscorpions,GYMN1,Gymnobisium sp. MCZ 139238,2590512,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9331987,,,79.3,53.1,26.2,14.7,6,94,metazoa_odb10,"19,518",77.1,74.9,2.2,13.6,9.3,90.7,metazoa_odb10,19518,14223,19506
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Hesperolpiidae,Pseudoscorpions,APOL1,Apolpium sp. MCZ 144360,2590504,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9332003,,,86,70.9,15.1,7.5,6.5,93.5,metazoa_odb10,"17,292",84.1,82.6,1.5,7.5,8.4,91.6,metazoa_odb10,17292,13070,17251
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Parahyidae,Pseudoscorpions,PSUB1,Parahya submersa,534673,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9331989,,,73,50,23,18.7,8.3,91.7,metazoa_odb10,"19,502",68.7,67.7,1,18.7,12.6,87.4,metazoa_odb10,19502,14732,19491
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Pseudotyrannochthoniidae,Pseudoscorpions,PSSP1,Pseudotyrannochthonius sp. B LB-2019,2590520,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9331997,,,96.9,22.7,74.2,1,2.1,97.9,metazoa_odb10,"33,819",96,40.9,55.1,0.8,3.2,96.8,metazoa_odb10,33819,26523,33710
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Sternophoridae,Pseudoscorpions,STSP1,Sternophoridae sp. MCZ 133496,2590522,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9332020,,,81.1,48.1,33,12.9,6,94,metazoa_odb10,"19,605",71.8,70.5,1.3,12.3,15.9,84.1,metazoa_odb10,19605,14653,19598
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Syarinidae,Pseudoscorpions,ICRA1,Ideobisium crassimanum,2590493,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9331979,,,94.6,70.8,23.8,2.5,2.9,97.1,metazoa_odb10,"17,351",92.8,88.9,3.9,2.1,5.1,94.9,metazoa_odb10,17351,13448,17290
ARTHROPODA,Chelicerata,Arachnida,Pseudoscorpiones,Withiidae,Pseudoscorpions,CSEG1,Cacodemonius sp. MCZ 144363,2590505,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9332001,,,95.7,56.5,39.2,1.7,2.6,97.4,metazoa_odb10,"28,630",94.6,72.5,22.1,1.8,3.6,96.4,metazoa_odb10,28630,21756,28571
ARTHROPODA,Chelicerata,Arachnida,Ricinulei,Ricinoididae,Hood tickspiders,CBEC1,Cryptocellus becki,1642531,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1979416,,,77.5,37.4,40.1,18.1,4.4,95.6,metazoa_odb10,"29,995",68.7,68.3,0.4,18.4,12.9,87.1,metazoa_odb10,29995,18178,29968
ARTHROPODA,Chelicerata,Arachnida,Ricinulei,Ricinoididae,Hood tickspiders,CRYP1,Cryptocellus sp. n. RF-2015,1643398,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1982218,,,75.5,51.7,23.8,19.6,4.9,95.1,metazoa_odb10,"20,792",68.8,68.3,0.5,19.1,12.1,87.9,metazoa_odb10,20792,14756,20785
ARTHROPODA,Chelicerata,Arachnida,Ricinulei,Ricinoididae,Hood tickspiders,RATE1,Ricinoides atewa,1046921,Transcriptome,Illumina GAII,NCBI SRA,SRR1145743,,,96.9,32.3,64.6,1.6,1.5,98.5,metazoa_odb10,"20,036",90,88.8,1.2,2.2,7.8,92.2,metazoa_odb10,20036,14232,19879
ARTHROPODA,Chelicerata,Arachnida,Schizomida,Hubbardiidae,shorttailed whipscorpion,SPOR1,Stenochrus portoricensis,2080935,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR6997625,,,75.5,50,25.5,17.5,7,93,metazoa_odb10,"23,804",69.4,68.8,0.6,16.2,14.4,85.6,metazoa_odb10,23804,16769,23795
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Buthidae,Scorpions,CSCU1,Centruroides sculpturatus,218467,Genome,Illumina HiSeq,NCBI Genome,GCF_000671375.1,,,-,-,-,-,-,-,-,-,93.2,88.7,4.5,4.3,2.5,97.5,metazoa_odb10,24591,21353,23003
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Chactidae,Scorpions,BGRA1,Brotheas granulatus,311986,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1721887,,,77.7,59.6,18.1,16,6.3,93.7,metazoa_odb10,"21,443",74.1,73.4,0.7,14.5,11.4,88.6,metazoa_odb10,21443,16029,21423
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Chactidae,Scorpions,UMOR1,Uroctonus mordax,507508,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR7415024,,,97.9,54.6,43.3,1.2,0.9,99.1,metazoa_odb10,"20,916",92.8,91.9,0.9,1.2,6,94,metazoa_odb10,20916,15876,20885
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Chaerilidae,Scorpions,CCEL1,Chaerilus celebensis,1577633,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1721804,,,78.4,50.1,28.3,17,4.6,95.4,metazoa_odb10,"25,893",72.8,72.1,0.7,15.4,11.8,88.2,metazoa_odb10,25893,18684,25863
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Euscorpiidae,Scorpions,MGER1,Megacormus gertschi,1843536,Transcriptome,Illumina Genome Analyzer IIx,NCBI SRA,SRR3657526,,,96.6,74.6,22,2.2,1.2,98.8,metazoa_odb10,"14,350",93.4,92.6,0.8,2.1,4.5,95.5,metazoa_odb10,14350,12185,14342
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Euscorpiidae,Scorpions,SCOR1,Scorpiops sp. PPS-2014,1588039,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1767662,,,84.7,59.1,25.6,12.5,2.8,97.2,metazoa_odb10,"29,020",77.9,77.4,0.5,13.2,8.9,91.1,metazoa_odb10,29020,19645,28984
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Pseudochactidae,Scorpions,TSTE1,Troglokhammouanus steineri,1577154,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1721739,,,89.9,63.6,26.3,7.4,2.7,97.3,metazoa_odb10,"20,127",83.2,82,1.2,7.8,9,91,metazoa_odb10,20127,16449,20110
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Scorpionidae,Scorpions,PIMP1,Pandinus imperator,55084,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1721600,,,79.1,47.1,32,15.9,5,95,metazoa_odb10,"21,882",68.9,67.6,1.3,15,16.1,83.9,metazoa_odb10,21882,15962,21864
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Scorpionidae,Scorpions,UELO1,Urodacus elongatus,2341116,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR7885472,,,84.5,53.5,31,12.1,3.4,96.6,metazoa_odb10,"21,930",77.9,77,0.9,11.6,10.5,89.5,metazoa_odb10,21930,15864,21912
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Superstitionidae,Scorpions,SDON1,Superstitionia donensis,311983,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1721951,,,75.7,46.9,28.8,18.6,5.7,94.3,metazoa_odb10,"25,862",69.3,68.3,1,18.1,12.6,87.4,metazoa_odb10,25862,18470,25848
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Vaejovidae,Scorpions,KACA1,Konetontli acapulco,1532980,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR7422029,,,92.3,62.9,29.4,4.8,2.9,97.1,metazoa_odb10,"18,148",88.2,86.8,1.4,4.7,7.1,92.9,metazoa_odb10,18148,14590,18118
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Vaejovidae,Scorpions,PBAE1,Paruroctonus baergi,1897136,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR7443668,,,97.8,60.2,37.6,1,1.2,98.8,metazoa_odb10,"17,736",92.3,90.9,1.4,1.5,6.2,93.8,metazoa_odb10,17736,14363,17682
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Vaejovidae,Scorpions,UHUA1,Uroctonites huachuca,2511127,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR8518582,,,96.2,65.5,30.7,2.9,0.9,99.1,metazoa_odb10,"17,912",92.2,90.8,1.4,2.3,5.5,94.5,metazoa_odb10,17912,14507,17893
ARTHROPODA,Chelicerata,Arachnida,Scorpiones,Vaejovidae,Scorpions,VMEX1,Vaejovis mexicanus,993612,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR7421527,,,85.3,61.7,23.6,7.8,6.9,93.1,metazoa_odb10,"16,167",81.6,79.9,1.7,8.2,10.2,89.8,metazoa_odb10,16167,13444,16153
ARTHROPODA,Chelicerata,Arachnida,Solifugae,Galeodidae,Sun spider,GALE2,Galeodes sp. JLF-2018,2126959,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR8745910,,,90.3,45.1,45.2,6.9,2.8,97.2,metazoa_odb10,"15,265",81.6,81.1,0.5,8,10.4,89.6,metazoa_odb10,15265,11895,15242
ARTHROPODA,Chelicerata,Arachnida,Solifugae,Solpugidae,Camel spiders,SOLP1,Solpugema sp. MCZ 49525,2590529,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR9332019,,,95.1,25.8,69.3,3.5,1.4,98.6,metazoa_odb10,"15,341",77.4,76.6,0.8,4.8,17.8,82.2,metazoa_odb10,15341,11297,15326
ARTHROPODA,Chelicerata,Arachnida,Uropygi,Thelyphonidae,Whip scorpions,MGIG1,Mastigoproctus giganteus,58767,Transcriptome,Illumina Genome Analyzer II,NCBI SRA,SRR1145698,,,82.6,55.7,26.9,13,4.4,95.6,metazoa_odb10,"21,110",80.7,78.7,2,12.9,6.4,93.6,metazoa_odb10,21110,16302,20970
ARTHROPODA,Chelicerata,Pycnogonida,Pantopoda,Callipallenidae,Sea spiders,PFLA1,Pallenella flava,2138384,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR13153831,,,93.2,59,34.2,5.2,1.6,98.4,metazoa_odb10,"22,785",84.5,83.6,0.9,5.3,10.2,89.8,metazoa_odb10,22785,16264,22769
ARTHROPODA,Chelicerata,Pycnogonida,Pantopoda,Callipallenidae,Sea spiders,SCHE1,Stylopallene cheilorhynchus,1216044,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR13153830,,,98.8,47.3,51.5,0.7,0.5,99.5,metazoa_odb10,"15,868",81.7,79.9,1.8,1.5,16.8,83.2,metazoa_odb10,15868,10961,15844
ARTHROPODA,Chelicerata,Pycnogonida,Pantopoda,Nymphonidae,Sea spiders,NMOL1,Nymphon molleri,2138377,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR13153829,,,95.2,71.2,24,3.5,1.3,98.7,metazoa_odb10,"17,345",88.7,88.1,0.6,3.5,7.8,92.2,metazoa_odb10,17345,12959,17332
ARTHROPODA,Chelicerata,Pycnogonida,Pantopoda,Nymphonidae,Sea spiders,NYGR1,Nymphon gracile,136195,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR1653221,,,84.9,47,37.9,10.3,4.8,95.2,metazoa_odb10,"15,856",76.9,75.3,1.6,10.2,12.9,87.1,metazoa_odb10,15856,11697,15697
ARTHROPODA,Chelicerata,Pycnogonida,Pantopoda,Phoxichilidiidae,sea spiders,ANIN1,Anoplodactylus insignis,1842456,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR5237777,,,73.2,46.8,26.4,19,7.8,92.2,metazoa_odb10,"13,305",64.2,63.7,0.5,17,18.8,81.2,metazoa_odb10,13305,10922,13303
ARTHROPODA,Chelicerata,Pycnogonida,Pantopoda,Phoxichilidiidae,Sea spiders,PFEM1,Phoxichilidium cf. femoratum JB-2020,2792819,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR13153828,,,99.1,45,54.1,0.3,0.6,99.4,metazoa_odb10,"13,442",82.3,79.8,2.5,0.7,17,83,metazoa_odb10,13442,9948,13416
ARTHROPODA,Chelicerata,Pycnogonida,Pantopoda,Pycnogonidae,sea spiders,PLIT1,Pycnogonum litorale,261975,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR7879353,,,91.7,44.4,47.3,6.5,1.8,98.2,metazoa_odb10,"16,363",76.8,76.3,0.5,6.9,16.3,83.7,metazoa_odb10,16363,12574,16340
ARTHROPODA,Chelicerata,Pycnogonida,Pantopoda,Tanystylidae,Sea spiders,TORB1,Tanystylum orbiculare,88027,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR13153832,,,98.9,69.3,29.6,0.5,0.6,99.4,metazoa_odb10,"13,009",83.8,83.4,0.4,0.9,15.3,84.7,metazoa_odb10,13009,10866,13001
ARTHROPODA,Myriapoda,Chilopoda,Craterostigmomorpha,Craterostigmidae,CRATEROSTIGMOMORPHA,CTAS1,Craterostigmus tasmanianus,60162,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1157986,,,84.7,36.2,48.5,11.8,3.5,96.5,metazoa_odb10,"17,389",70.9,70,0.9,11.9,17.2,82.8,metazoa_odb10,17389,13609,17384
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Dignathodontidae,GEOPHILOMORPHA,HBRE1,Henia brevis,1816497,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3458639,,,94.3,26.7,67.6,4.1,1.6,98.4,metazoa_odb10,"19,857",68,67.6,0.4,5.8,26.2,73.8,metazoa_odb10,19857,14985,19841
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Dignathodontidae,GEOPHILOMORPHA,HILL1,Henia illyrica,1428161,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR3485986,https://bmcecolevol.biomedcentral.com/articles/10.1186/s12862-020-01699-0,,90.3,45,45.3,7,2.7,97.3,metazoa_odb10,"16,858",78.7,76.7,2,7.9,13.4,86.6,metazoa_odb10,16858,14306,16712
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Geophilidae,GEOPHILOMORPHA,CFLA1,Clinopodes flavidus,511797,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR1653181,https://bmcecolevol.biomedcentral.com/articles/10.1186/s12862-020-01699-0,,94.6,55.2,39.4,4.2,1.2,98.8,metazoa_odb10,"19,291",83.9,83.1,0.8,4.1,12,88,metazoa_odb10,19291,15722,19271
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Geophilidae,GEOPHILOMORPHA,SLIN1,Stenotaenia linearis,1569481,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3233208,,,95.2,34.5,60.7,3.9,0.9,99.1,metazoa_odb10,"17,597",75.7,74.5,1.2,5.8,18.5,81.5,metazoa_odb10,17597,13718,17591
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Himantariidae,GEOPHILOMORPHA,HGAB1,Himantarium gabrielis,241672,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR1653198,https://bmcecolevol.biomedcentral.com/articles/10.1186/s12862-020-01699-0,,97.7,32.4,65.3,1.7,0.6,99.4,metazoa_odb10,"14,522",75,72.4,2.6,2,23,77,metazoa_odb10,14522,12254,14457
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Linotaeniidae,GEOPHILOMORPHA,SACU1,Strigamia acuminata,1255758,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR3485997,https://bmcecolevol.biomedcentral.com/articles/10.1186/s12862-020-01699-0,,82.7,52.8,29.9,11.9,5.4,94.6,metazoa_odb10,"15,579",74.4,71.7,2.7,12.6,13,87,metazoa_odb10,15579,13771,15493
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Linotaeniidae,Centipedes,SMAR2,Strigramia maritima,126957,Genome,,Figshare,15088722,https://www.nature.com/articles/s41467-022-30690-0,,-,-,-,-,-,-,-,-,90.2,86.1,4.1,2,7.8,92.2,metazoa_odb10,14992,12619,14924
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Mecistocephalidae,GEOPHILOMORPHA,MGUI1,Mecistocephalus guildingii,126915,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3233206,,,91.9,40.1,51.8,6.2,1.9,98.1,metazoa_odb10,"20,120",77.8,76.6,1.2,7,15.2,84.8,metazoa_odb10,20120,15224,20103
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Mecistocephalidae,GEOPHILOMORPHA,TJAV1,Tygarrup javanicus,863634,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3233201,,,72.6,39.4,33.2,20.2,7.2,92.8,metazoa_odb10,"18,784",61.6,61.2,0.4,19,19.4,80.6,metazoa_odb10,18784,15243,18773
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Oryidae,GEOPHILOMORPHA,NGRA1,Notiphilides grandis,1816494,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3458605,,,92.8,21.7,71.1,5.5,1.7,98.3,metazoa_odb10,"18,369",72.1,71.7,0.4,8.4,19.5,80.5,metazoa_odb10,18369,13883,18340
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Schendylidae,GEOPHILOMOPRHA,HSUB1,Hydroschendyla submarina,1428152,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3233203,,,89.9,39.9,50,7.5,2.6,97.4,metazoa_odb10,"18,706",70.4,69.8,0.6,7.4,22.2,77.8,metazoa_odb10,18706,14932,18700
ARTHROPODA,Myriapoda,Chilopoda,Geophilomorpha,Schendylidae,GEOPHILOMORPHA,SCAR1,Schendyla carniolensis,1820143,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR3485996,https://bmcecolevol.biomedcentral.com/articles/10.1186/s12862-020-01699-0,,83.4,34.8,48.6,11.1,5.5,94.5,metazoa_odb10,"18,228",73.9,71.9,2,12.5,13.6,86.4,metazoa_odb10,18228,14155,18100
ARTHROPODA,Myriapoda,Chilopoda,Lithobiomorpha,Henicopidae,LITHOBIOMORPHA,AGIR1,Anopsobius giribeti,269517,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3232683,,,97.4,52.1,45.3,1.8,0.8,99.2,metazoa_odb10,"17,744",82.4,82.2,0.2,2,15.6,84.4,metazoa_odb10,17744,13499,17732
ARTHROPODA,Myriapoda,Chilopoda,Lithobiomorpha,Henicopidae,LITHOBIOMORPHA,PVAL1,Paralamyctes validus,126942,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3232621,,,64.2,32.9,31.3,27,8.8,91.2,metazoa_odb10,"17,244",55.6,55.3,0.3,26,18.4,81.6,metazoa_odb10,17244,13115,17235
ARTHROPODA,Myriapoda,Chilopoda,Lithobiomorpha,Lithobiidae,Centipedes,LINI1,Lithobius niger,981152,Genome,,Figshare,15088722,https://www.nature.com/articles/s41467-022-30690-0,,-,-,-,-,-,-,-,-,69.7,62.5,7.2,22,8.3,91.7,metazoa_odb10,42993,33801,40608
ARTHROPODA,Myriapoda,Chilopoda,Scolopendromorpha,Cryptopidae,SCOLOPENDROMORPHA,CANO1,Cryptops anomalans,1418174,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR3485978,https://bmcecolevol.biomedcentral.com/articles/10.1186/s12862-020-01699-0,,88.3,42,46.3,8.6,3.1,96.9,metazoa_odb10,"17,684",75.5,73.7,1.8,9.6,14.9,85.1,metazoa_odb10,17684,13145,17562
ARTHROPODA,Myriapoda,Chilopoda,Scolopendromorpha,Cryptopidae,SCOLOPENDROMORPHA,CHOR1,Cryptops hortensis,1268897,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1153457,,,90.6,41.8,48.8,7,2.4,97.6,metazoa_odb10,"20,382",82.7,81.1,1.6,8.4,8.9,91.1,metazoa_odb10,20382,15494,20235
ARTHROPODA,Myriapoda,Chilopoda,Scolopendromorpha,Cryptopidae,SCOLOPENDROMORPHA,TSPI1,Theatops spinicaudus,1816096,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3458602,,,83.6,22.3,61.3,12.5,3.9,96.1,metazoa_odb10,"18,390",59.7,59.5,0.2,14.6,25.7,74.3,metazoa_odb10,18390,13430,18382
ARTHROPODA,Myriapoda,Chilopoda,Scolopendromorpha,Scolopendridae,SCOLOPENDROMORPHA,AGRA1,Alipes grandidieri,1257097,Transcriptome,Genome Analyzer II,NCBI SRA,SRR619311,,,86.3,41.4,44.9,10.6,3.1,96.9,metazoa_odb10,"22,871",78,77.5,0.5,11.1,10.9,89.1,metazoa_odb10,22871,16266,22762
ARTHROPODA,Myriapoda,Chilopoda,Scolopendromorpha,Scolopendridae,Centipedes,RIMM1,Rhysida immarginata,984703,Genome,,Figshare,15088722,https://www.nature.com/articles/s41467-022-30690-0,,-,-,-,-,-,-,-,-,88.1,86.1,2,8.4,3.5,96.5,metazoa_odb10,27165,20768,26545
ARTHROPODA,Myriapoda,Chilopoda,Scolopendromorpha,Scolopendridae,SCOLOPENDROMORPHA,RLON1,Rhysida longipes,984702,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3233167,,,75.2,37.7,37.5,19.2,5.6,94.4,metazoa_odb10,"19,909",63.9,63.4,0.5,18,18.1,81.9,metazoa_odb10,19909,14928,19894
