maxid,Genus,Species,phylum,CellType,CellSubType,LambdaMax,error,Chromophore,Stage,useable,expid,opsinid,refid,Notes
321,Lepomis,macrochirus,Chordata,rod,,538,,,adult,,,0,20,
322,Lepomis,macrochirus,Chordata,cone,single,536,,,adult,,,0,20,
323,Lepomis,macrochirus,Chordata,cone,twin,620,,,adult,,,0,20,
324,Micropterus,salmoides,Chordata,rod,,528,,,adult,,,0,34,
325,Micropterus,salmoides,Chordata,cone,single,535,,,adult,,,0,34,
326,Micropterus,salmoides,Chordata,cone,twin,614,,,adult,,,0,34,
327,Chaetodon,kleini,NA,rod,,496,,,adult,,,0,32,
328,Chaetodon,kleini,NA,cone,double,496,,,adult,,,0,32,
329,Chaetodon,kleini,NA,cone,double,530,,,adult,,,0,32,
330,Chaetodon,unimaculatus,Chordata,rod,,491,,,adult,,,0,32,
331,Chaetodon,unimaculatus,Chordata,cone,double,487,,,adult,,,0,32,
332,Chaetodon,unimaculatus,Chordata,cone,double,530,,,adult,,,0,32,
333,Forcipiger,flavissimus,Chordata,rod,,488,,,adult,,,0,32,
334,Forcipiger,flavissimus,Chordata,cone,single,431,,,adult,,,0,32,
335,Forcipiger,flavissimus,Chordata,cone,double,490,,,adult,,,0,32,
336,Forcipiger,flavissimus,Chordata,cone,double,527,,,adult,,,0,32,
337,Aequidens,pulcher,Chordata,rod,,507,,,adult,,,0,29,
338,Aequidens,pulcher,Chordata,cone,double,565,,,adult,,,0,29,
339,Aequidens,pulcher,Chordata,cone,double,605,,,adult,,,0,29,
340,Aequidens,pulcher,Chordata,cone,twin,605,,,adult,,,0,29,
341,Aulonocara,hueseri,Chordata,rod,,496,,,adult,,,0,23,
342,Aulonocara,hueseri,Chordata,cone,single,415,,,adult,,,0,23,
343,Aulonocara,hueseri,Chordata,cone,double,484,,,adult,,,0,23,
344,Aulonocara,hueseri,Chordata,cone,double,526,,,adult,,,0,23,
345,Copadichromis,borleyi,Chordata,rod,,494,,,adult,,,0,23,
346,Copadichromis,borleyi,Chordata,cone,single,424,,,adult,,,0,23,
347,Copadichromis,borleyi,Chordata,cone,double,478,,,adult,,,0,23,
348,Copadichromis,borleyi,Chordata,cone,double,539,,,adult,,,0,23,
349,Crenicichla,frenata,Chordata,rod,,420,,,adult,,,0,48,
350,Crenicichla,frenata,Chordata,cone,single,480,,,adult,,,0,48,
351,Crenicichla,frenata,Chordata,cone,double,547,,,adult,,,0,48,
352,Crenicichla,frenata,Chordata,cone,double,614,,,adult,,,0,48,
353,Crenicichla,frenata,Chordata,cone,twin,614,,,adult,,,0,48,
354,Cynotilapia,afra,Chordata,rod,,496,,,adult,,,0,23,
355,Cynotilapia,afra,Chordata,cone,single,358,,,adult,,,0,23,
356,Cynotilapia,afra,Chordata,cone,double,472,,,adult,,,0,23,
357,Cynotilapia,afra,Chordata,cone,double,525,,,adult,,,0,23,
358,Dimidiochromis,compressiceps,Chordata,rod,,498,,,adult,,,0,23,
359,Dimidiochromis,compressiceps,Chordata,cone,single,447,,,adult,,,0,23,
360,Dimidiochromis,compressiceps,Chordata,cone,double,533,,,adult,,,0,23,
361,Dimidiochromis,compressiceps,Chordata,cone,double,567,,,adult,,,0,23,
362,Haplochromis,burtoni,Chordata,rod,,500,,,adult,,,0,13,
363,Haplochromis,burtoni,Chordata,cone,single,455,,,adult,,,0,13,
364,Haplochromis,burtoni,Chordata,cone,double,523,,,adult,,,0,13,
365,Haplochromis,burtoni,Chordata,cone,double,562,,,adult,,,0,13,
366,Haplochromis,pyrrhocephalus,Chordata,rod,,519,,,adult,,,0,46,
367,Haplochromis,pyrrhocephalus,Chordata,cone,single,462,,,adult,,,0,46,
368,Haplochromis,pyrrhocephalus,Chordata,cone,double,539,,,adult,,,0,46,
369,Haplochromis,pyrrhocephalus,Chordata,cone,double,595,,,adult,,,0,46,
370,Haplochromis,ishmaeli,Chordata,rod,,507,,,adult,,,0,46,
371,Haplochromis,ishmaeli,Chordata,cone,single,456,,,adult,,,0,46,
372,Haplochromis,ishmaeli,Chordata,cone,double,535,,,adult,,,0,46,
373,Haplochromis,ishmaeli,Chordata,cone,double,569,,,adult,,,0,46,
374,Haplochromis,piceatus,Chordata,rod,,503,,,adult,,,0,46,
375,Haplochromis,piceatus,Chordata,cone,single,465,,,adult,,,0,46,
376,Haplochromis,piceatus,Chordata,cone,double,522,,,adult,,,0,46,
377,Haplochromis,piceatus,Chordata,cone,double,565,,,adult,,,0,46,
378,Lethrinops,parvidens,Chordata,rod,,498,,,adult,,,0,23,
379,Lethrinops,parvidens,Chordata,cone,single,426,,,adult,,,0,23,
380,Lethrinops,parvidens,Chordata,cone,double,514,,,adult,,,0,23,
381,Lethrinops,parvidens,Chordata,cone,double,563,,,adult,,,0,23,
382,Melanochromis,auratus,Chordata,rod,,497,,,adult,,,0,23,
383,Melanochromis,auratus,Chordata,cone,single,414,,,adult,,,0,23,
384,Melanochromis,auratus,Chordata,cone,double,482,,,adult,,,0,23,
385,Melanochromis,auratus,Chordata,cone,double,525,,,adult,,,0,23,
386,Melanochromis,vermivorus,Chordata,rod,,505,,,adult,,,0,38,
387,Melanochromis,vermivorus,Chordata,cone,single,418,,,adult,,,0,38,
388,Melanochromis,vermivorus,Chordata,cone,single,506,,,adult,,,0,38,
389,Melanochromis,vermivorus,Chordata,cone,single,555,,,adult,,,0,38,
390,Melanochromis,vermivorus,Chordata,cone,double,485,,,adult,,,0,38,
391,Melanochromis,vermivorus,Chordata,cone,double,534,,,adult,,,0,38,
392,Maylandia,zebra,Chordata,cone,single,368,,,adult,,,0,7,
393,Maylandia,zebra,Chordata,cone,double,482,,,adult,,,0,7,
394,Maylandia,zebra,Chordata,cone,double,531,,,adult,,,0,7,
395,Metriaclima,barlowi,Chordata,rod,,491,,,adult,,,0,23,
396,Metriaclima,barlowi,Chordata,cone,single,366,,,adult,,,0,23,
397,Metriaclima,barlowi,Chordata,cone,double,483,,,adult,,,0,23,
398,Metriaclima,barlowi,Chordata,cone,double,523,,,adult,,,0,23,
399,Metriaclima,benetos,Chordata,cone,single,379,,,adult,,,0,23,
400,Metriaclima,benetos,Chordata,cone,double,489,,,adult,,,0,23,
401,Metriaclima,benetos,Chordata,cone,double,522,,,adult,,,0,23,
402,Metriaclima,emmiltos,Chordata,cone,single,383,,,adult,,,0,23,
403,Metriaclima,emmiltos,Chordata,cone,double,482,,,adult,,,0,23,
404,Metriaclima,emmiltos,Chordata,cone,double,521,,,adult,,,0,23,
405,Metriaclima,livingstonii,Chordata,rod,,495,,,adult,,,0,23,
406,Metriaclima,livingstonii,Chordata,cone,single,364,,,adult,,,0,23,
407,Metriaclima,livingstonii,Chordata,cone,double,473,,,adult,,,0,23,
408,Metriaclima,livingstonii,Chordata,cone,double,526,,,adult,,,0,23,
409,Metriaclima,melabranchion,NA,rod,,495,,,adult,,,0,23,
410,Metriaclima,melabranchion,NA,cone,single,371,,,adult,,,0,23,
411,Metriaclima,melabranchion,NA,cone,double,477,,,adult,,,0,23,
412,Metriaclima,melabranchion,NA,cone,double,515,,,adult,,,0,23,
413,Mylochromis,lateristriga,Chordata,rod,,496,,,adult,,,0,23,
414,Mylochromis,lateristriga,Chordata,cone,single,419,,,adult,,,0,23,
415,Mylochromis,lateristriga,Chordata,cone,double,482,,,adult,,,0,23,
416,Mylochromis,lateristriga,Chordata,cone,double,522,,,adult,,,0,23,
417,Protomelas,taeniolatus,Chordata,rod,,496,,,adult,,,0,23,
418,Protomelas,taeniolatus,Chordata,cone,single,453,,,adult,,,0,23,
419,Protomelas,taeniolatus,Chordata,cone,double,527,,,adult,,,0,23,
420,Protomelas,taeniolatus,Chordata,cone,double,566,,,adult,,,0,23,
421,Pseudotropheus,tropheops,Chordata,rod,,510,,,adult,,,0,23,
422,Pseudotropheus,tropheops,Chordata,cone,single,371,,,adult,,,0,23,
423,Pseudotropheus,tropheops,Chordata,cone,double,492,,,adult,,,0,23,
424,Pseudotropheus,tropheops,Chordata,cone,double,531,,,adult,,,0,23,
425,Pseudotropheus,acei,Chordata,rod,,505,,,adult,,,0,38,
426,Pseudotropheus,acei,Chordata,cone,single,378,,,adult,,,0,38,
427,Pseudotropheus,acei,Chordata,cone,double,482,,,adult,,,0,38,
428,Pseudotropheus,acei,Chordata,cone,double,535,,,adult,,,0,38,
429,Pundamilia,red head,NA,cone,single,456,,,adult,,,0,8,
430,Pundamilia,red head,NA,cone,double,527,,,adult,,,0,8,
431,Pundamilia,red head,NA,cone,double,567,,,adult,,,0,8,
432,Pundamilia,au,NA,rod,,503,,,adult,,,0,8,
433,Pundamilia,azurea,Chordata,cone,single,455,,,adult,,,0,8,
434,Pundamilia,azurea,Chordata,cone,double,526,,,adult,,,0,8,
435,Pundamilia,azurea,Chordata,cone,double,563,,,adult,,,0,8,
436,Pundamilia,nyererei,Chordata,rod,,505,,,adult,,,0,8,
437,Pundamilia,nyererei,Chordata,cone,single,451,,,adult,,,0,8,
438,Pundamilia,nyererei,Chordata,cone,double,535,,,adult,,,0,8,
439,Pundamilia,nyererei,Chordata,cone,double,562,,,adult,,,0,8,
440,Pundamilia,nyererei,Chordata,cone,twin,562,,,adult,,,0,8,
441,Pundamilia,luanso,NA,rod,,505,,,adult,,,0,8,
442,Pundamilia,luanso,NA,cone,single,455,,,adult,,,0,8,
443,Pundamilia,luanso,NA,cone,double,527,,,adult,,,0,8,
444,Pundamilia,luanso,NA,cone,double,561,,,adult,,,0,8,
445,Pundamilia,luanso,NA,cone,twin,561,,,adult,,,0,8,
446,Pundamilia,pundamilia,Chordata,rod,,506,,,adult,,,0,8,
447,Pundamilia,pundamilia,Chordata,cone,single,455,,,adult,,,0,8,
448,Pundamilia,pundamilia,Chordata,cone,double,529,,,adult,,,0,8,
449,Pundamilia,pundamilia,Chordata,cone,double,563,,,adult,,,0,8,
450,Pundamilia,pundamilia,Chordata,cone,twin,563,,,adult,,,0,8,
451,Tramitichromis,intermedius,Chordata,rod,,505,,,adult,,,0,38,
452,Tramitichromis,intermedius,Chordata,cone,single,455,,,adult,,,0,38,
453,Tramitichromis,intermedius,Chordata,cone,double,531,,,adult,,,0,38,
454,Tramitichromis,intermedius,Chordata,cone,double,568,,,adult,,,0,38,
455,Tyrannochromis,macrostoma,Chordata,rod,,494,,,adult,,,0,23,
456,Tyrannochromis,macrostoma,Chordata,cone,single,410,,,adult,,,0,23,
457,Tyrannochromis,macrostoma,Chordata,cone,double,482,,,adult,,,0,23,
458,Tyrannochromis,macrostoma,Chordata,cone,double,529,,,adult,,,0,23,
459,Embiotoca,lateralis,Chordata,rod,,499,,,adult,,,0,5,
460,Embiotoca,lateralis,Chordata,cone,single,459,,,adult,,,0,5,
461,Embiotoca,lateralis,Chordata,cone,single,534,,,adult,,,0,5,
462,Embiotoca,lateralis,Chordata,cone,twin,535,,,adult,,,0,5,
463,Embiotoca,jacksoni,Chordata,rod,,505,,,adult,,,0,11,
464,Embiotoca,jacksoni,Chordata,cone,single,477,,,adult,,,0,11,
465,Embiotoca,jacksoni,Chordata,cone,twin,534,,,adult,,,0,11,
466,Hypsurus,caryi,Chordata,rod,,506,,,adult,,,0,11,
467,Hypsurus,caryi,Chordata,cone,single,455,,,adult,,,0,11,
468,Hypsurus,caryi,Chordata,cone,single,532,,,adult,,,0,11,
469,Hypsurus,caryi,Chordata,cone,twin,532,,,adult,,,0,11,
470,Micrometrus,minimus,Chordata,rod,,518,,,adult,,,0,11,
471,Micrometrus,minimus,Chordata,cone,single,470,,,adult,,,0,11,
472,Micrometrus,minimus,Chordata,cone,single,546,,,adult,,,0,11,
473,Micrometrus,minimus,Chordata,cone,twin,546,,,adult,,,0,11,
474,Micrometrus,aurora,Chordata,rod,,519,,,adult,,,0,11,
475,Micrometrus,aurora,Chordata,cone,single,466,,,adult,,,0,11,
476,Micrometrus,aurora,Chordata,cone,single,538,,,adult,,,0,11,
477,Micrometrus,aurora,Chordata,cone,twin,538,,,adult,,,0,11,
478,Rhacochilus,vacca,Chordata,rod,,507,,,adult,,,0,5,
479,Rhacochilus,vacca,Chordata,cone,single,472,,,adult,,,0,5,
480,Rhacochilus,vacca,Chordata,cone,single,540,,,adult,,,0,5,
481,Rhacochilus,vacca,Chordata,cone,twin,539,,,adult,,,0,5,
482,Zalembius,rosaceus,Chordata,rod,,494,,,adult,,,0,11,
483,Zalembius,rosaceus,Chordata,cone,single,470,,,adult,,,0,11,
484,Zalembius,rosaceus,Chordata,cone,single,527,,,adult,,,0,11,
485,Zalembius,rosaceus,Chordata,cone,twin,527,,,adult,,,0,11,
486,Asterropteryx,semipunctata,Chordata,rod,,498,,,adult,,,0,32,
487,Asterropteryx,semipunctata,Chordata,cone,double,531,,,adult,,,0,32,
488,Asterropteryx,semipunctata,Chordata,cone,double,538,,,adult,,,0,32,
489,Gobius,paganellus,Chordata,rod,,512,,,adult,,,0,29,
490,Gobius,paganellus,Chordata,cone,single,465,,,adult,,,0,29,
491,Gobius,paganellus,Chordata,cone,single,565,,,adult,,,0,29,
492,Gobius,paganellus,Chordata,cone,twin,565,,,adult,,,0,29,
493,Gobiusculus,flavescens,Chordata,rod,,508,,,adult,,,0,45,
494,Gobiusculus,flavescens,Chordata,cone,single,456,,,adult,,,0,45,
495,Gobiusculus,flavescens,Chordata,cone,single,531,,,adult,,,0,45,
496,Gobiusculus,flavescens,Chordata,cone,single,553,,,adult,,,0,45,
497,Gobiusculus,flavescens,Chordata,cone,double,531,,,adult,,,0,45,
498,Gobiusculus,flavescens,Chordata,cone,double,553,,,adult,,,0,45,
499,Gobiusculus,flavescens,Chordata,cone,twin,531,,,adult,,,0,45,
500,Pomatoschistus,minutus,Chordata,rod,,508,,,adult,,,0,22,
501,Pomatoschistus,minutus,Chordata,cone,single,447,,,adult,,,0,22,
502,Pomatoschistus,minutus,Chordata,cone,single,548,,,adult,,,0,22,
503,Pomatoschistus,minutus,Chordata,cone,twin,527,,,adult,,,0,22,
504,Tetrapturus,audax,Chordata,cone,single,535,,,adult,,,0,16,
505,Tetrapturus,audax,Chordata,cone,single,609,,,adult,,,0,16,
506,Kuhlia,sandvicensis,Chordata,rod,,491,,,adult,,,0,32,
507,Kuhlia,sandvicensis,Chordata,cone,single,436,,,adult,,,0,32,
508,Kuhlia,sandvicensis,Chordata,cone,double,488,,,adult,,,0,32,
509,Kuhlia,sandvicensis,Chordata,cone,double,531,,,adult,,,0,32,
510,Bodianus,bilunnulatus,NA,rod,,485,,,adult,,,0,32,
511,Bodianus,bilunnulatus,NA,cone,double,526,,,adult,,,0,32,
512,Bodianus,bilunnulatus,NA,cone,double,545,,,adult,,,0,32,
513,Symphodus,melops,Chordata,rod,,520,,,adult,,,0,29,
514,Symphodus,melops,Chordata,cone,single,505,,,adult,,,0,29,
515,Symphodus,melops,Chordata,cone,single,555,,,adult,,,0,29,
516,Symphodus,melops,Chordata,cone,double,525,,,adult,,,0,29,
517,Symphodus,melops,Chordata,cone,double,555,,,adult,,,0,29,
518,Lutjanus,adetii,Chordata,rod,,496,,,adult,,,0,33,
519,Lutjanus,adetii,Chordata,cone,single,443,,,adult,,,0,33,
520,Lutjanus,adetii,Chordata,cone,double,511,,,adult,,,0,33,
521,Lutjanus,adetii,Chordata,cone,double,526,,,adult,,,0,33,
522,Lutjanus,argentimaculatus,Chordata,cone,double,536,,,adult,,,0,33,
523,Lutjanus,argentimaculatus,Chordata,cone,double,575,,,adult,,,0,33,
524,Lutjanus,bohar,Chordata,rod,,497,,,adult,,,0,33,
525,Lutjanus,bohar,Chordata,cone,single,424,,,adult,,,0,33,
526,Lutjanus,bohar,Chordata,cone,double,494,,,adult,,,0,33,
527,Lutjanus,bohar,Chordata,cone,double,518,,,adult,,,0,33,
528,Lutjanus,carponotatus,Chordata,rod,,499,,,adult,,,0,33,
529,Lutjanus,carponotatus,Chordata,cone,single,454,,,adult,,,0,33,
530,Lutjanus,carponotatus,Chordata,cone,double,519,,,adult,,,0,33,
531,Lutjanus,carponotatus,Chordata,cone,double,552,,,adult,,,0,33,
532,Lutjanus,erythropterus,Chordata,rod,,496,,,adult,,,0,33,
533,Lutjanus,erythropterus,Chordata,cone,single,446,,,adult,,,0,33,
534,Lutjanus,erythropterus,Chordata,cone,double,527,,,adult,,,0,33,
535,Lutjanus,erythropterus,Chordata,cone,double,540,,,adult,,,0,33,
536,Lutjanus,kasmira,Chordata,cone,single,430,,,adult,,,0,33,
537,Lutjanus,kasmira,Chordata,cone,double,487,,,adult,,,0,33,
538,Lutjanus,kasmira,Chordata,cone,double,518,,,adult,,,0,33,
539,Lutjanus,malabaricus,Chordata,rod,,494,,,adult,,,0,33,
540,Lutjanus,malabaricus,Chordata,cone,single,408,,,adult,,,0,33,
541,Lutjanus,malabaricus,Chordata,cone,single,442,,,adult,,,0,33,
542,Lutjanus,malabaricus,Chordata,cone,double,529,,,adult,,,0,33,
543,Lutjanus,malabaricus,Chordata,cone,double,541,,,adult,,,0,33,
544,Lutjanus,quinquelineatus,Chordata,rod,,499,,,adult,,,0,33,
545,Lutjanus,quinquelineatus,Chordata,cone,single,444,,,adult,,,0,33,
546,Lutjanus,quinquelineatus,Chordata,cone,double,520,,,adult,,,0,33,
547,Lutjanus,quinquelineatus,Chordata,cone,double,540,,,adult,,,0,33,
548,Lutjanus,russellii,Chordata,rod,,499,,,adult,,,0,33,
549,Lutjanus,russellii,Chordata,cone,single,451,,,adult,,,0,33,
550,Lutjanus,russellii,Chordata,cone,double,530,,,adult,,,0,33,
551,Lutjanus,russellii,Chordata,cone,double,557,,,adult,,,0,33,
552,Lutjanus,sebae,Chordata,rod,,494,,,adult,,,0,33,
553,Lutjanus,sebae,Chordata,cone,single,430,,,adult,,,0,33,
554,Lutjanus,sebae,Chordata,cone,double,521,,,adult,,,0,33,
555,Lutjanus,sebae,Chordata,cone,double,539,,,adult,,,0,33,
556,Lutjanus,johnii,Chordata,rod,,498,,,adult,,,0,33,
557,Lutjanus,johnii,Chordata,cone,double,543,,,adult,,,0,33,
558,Lutjanus,johnii,Chordata,cone,double,567,,,adult,,,0,33,
559,Mulloidichthys,flavolineatus,Chordata,rod,,486,,,adult,,,0,32,
560,Mulloidichthys,flavolineatus,Chordata,cone,single,366,,,adult,,,0,32,
561,Mulloidichthys,flavolineatus,Chordata,cone,double,480,,,adult,,,0,32,
562,Mulloidichthys,flavolineatus,Chordata,cone,double,523,,,adult,,,0,32,
563,Mullus,barbatus,Chordata,rod,,497,,,adult,,,0,18,
564,Mullus,barbatus,Chordata,cone,single,380,,,adult,,,0,18,
565,Mullus,barbatus,Chordata,cone,single,491,,,adult,,,0,18,
566,Mullus,barbatus,Chordata,cone,single,533,,,adult,,,0,18,
567,Mullus,barbatus,Chordata,cone,double,491,,,adult,,,0,18,
568,Mullus,barbatus,Chordata,cone,double,533,,,adult,,,0,18,
569,Mullus,barbatus,Chordata,cone,twin,533,,,adult,,,0,18,
570,Parupeneus,multifasceatus,NA,rod,,494,,,adult,,,0,32,
571,Parupeneus,multifasceatus,NA,cone,double,486,,,adult,,,0,32,
572,Parupeneus,multifasceatus,NA,cone,double,516,,,adult,,,0,32,
573,Parupeneus,multifasceatus,NA,cone,twin,515,,,adult,,,0,32,
574,Dissostichus,mawsoni,Chordata,rod,,504,,,adult,,,0,39,
575,Dissostichus,mawsoni,Chordata,cone,single,414,,,adult,,,0,39,
576,Dissostichus,mawsoni,Chordata,cone,single,490,,,adult,,,0,39,
577,Dissostichus,mawsoni,Chordata,cone,twin,490,,,adult,,,0,39,
578,Pagothenia,borchgrevinki,Chordata,rod,,499,,,adult,,,0,39,
579,Pagothenia,borchgrevinki,Chordata,cone,single,489,,,adult,,,0,39,
580,Pagothenia,borchgrevinki,Chordata,cone,twin,489,,,adult,,,0,39,
581,Trematomus,bernacchii,Chordata,rod,,502,,,adult,,,0,39,
582,Trematomus,bernacchii,Chordata,cone,single,416,,,adult,,,0,39,
583,Trematomus,bernacchii,Chordata,cone,single,490,,,adult,,,0,39,
584,Trematomus,bernacchii,Chordata,cone,twin,490,,,adult,,,0,39,
585,Trematomus,hansoni,Chordata,rod,,501,,,adult,,,0,39,
586,Trematomus,hansoni,Chordata,cone,single,418,,,adult,,,0,39,
587,Trematomus,hansoni,Chordata,cone,single,490,,,adult,,,0,39,
588,Trematomus,hansoni,Chordata,cone,twin,490,,,adult,,,0,39,
589,Trematomus,loennbergii,Chordata,rod,,500,,,adult,,,0,39,
590,Trematomus,loennbergii,Chordata,cone,single,426,,,adult,,,0,39,
591,Trematomus,loennbergii,Chordata,cone,single,490,,,adult,,,0,39,
592,Trematomus,loennbergii,Chordata,cone,twin,490,,,adult,,,0,39,
593,Perca,fluviatilis,Chordata,rod,,540,,,adult,,,0,29,
594,Perca,fluviatilis,Chordata,cone,single,535,,,adult,,,0,29,
595,Perca,fluviatilis,Chordata,cone,twin,615,,,adult,,,0,29,
596,Sander,lucioperca,Chordata,rod,,524,,,adult,,,0,22,
597,Sander,lucioperca,Chordata,cone,single,530,,,adult,,,0,22,
598,Sander,lucioperca,Chordata,cone,twin,598,,,adult,,,0,22,
599,Apodichthys,flavidus,Chordata,rod,,504,,,adult,,,0,5,
600,Apodichthys,flavidus,Chordata,cone,single,363,,,adult,,,0,5,
601,Apodichthys,flavidus,Chordata,cone,single,441,,,adult,,,0,5,
602,Apodichthys,flavidus,Chordata,cone,double,529,,,adult,,,0,5,
603,Apodichthys,flavidus,Chordata,cone,double,567,,,adult,,,0,5,
604,Pholis,omata,NA,rod,,498,,,adult,,,0,5,
605,Pholis,omata,NA,cone,single,444,,,adult,,,0,5,
606,Pholis,omata,NA,cone,single,528,,,adult,,,0,5,
607,Pholis,omata,NA,cone,single,560,,,adult,,,0,5,
608,Pholis,omata,NA,cone,double,526,,,adult,,,0,5,
609,Pholis,omata,NA,cone,double,561,,,adult,,,0,5,
610,Pholis,laeta,Chordata,rod,,504,,,adult,,,0,5,
611,Pholis,laeta,Chordata,cone,single,449,,,adult,,,0,5,
612,Pholis,laeta,Chordata,cone,double,527,,,adult,,,0,5,
613,Pholis,laeta,Chordata,cone,double,562,,,adult,,,0,5,
614,Abudefduf,abdominalis,Chordata,rod,,492,,,adult,,,0,32,
615,Abudefduf,abdominalis,Chordata,cone,single,347,,,adult,,,0,32,
616,Abudefduf,abdominalis,Chordata,cone,single,464,,,adult,,,0,32,
617,Abudefduf,abdominalis,Chordata,cone,double,457,,,adult,,,0,32,
618,Abudefduf,abdominalis,Chordata,cone,double,519,,,adult,,,0,32,
619,Chromis,hanui,Chordata,rod,,477,,,adult,,,0,32,
620,Chromis,hanui,Chordata,cone,single,355,,,adult,,,0,32,
621,Chromis,hanui,Chordata,cone,single,483,,,adult,,,0,32,
622,Chromis,hanui,Chordata,cone,double,470,,,adult,,,0,32,
623,Chromis,hanui,Chordata,cone,double,514,,,adult,,,0,32,
624,Chromis,ovalis,Chordata,rod,,492,,,adult,,,0,32,
625,Chromis,ovalis,Chordata,cone,single,404,,,adult,,,0,32,
626,Chromis,ovalis,Chordata,cone,double,473,,,adult,,,0,32,
627,Chromis,ovalis,Chordata,cone,double,518,,,adult,,,0,32,
628,Chromis,vanderbilti,Chordata,rod,,498,,,adult,,,0,32,
629,Chromis,vanderbilti,Chordata,cone,double,462,,,adult,,,0,32,
630,Chromis,vanderbilti,Chordata,cone,double,522,,,adult,,,0,32,
631,Chromis,verater,Chordata,rod,,480,,,adult,,,0,32,
632,Chromis,verater,Chordata,cone,single,410,,,adult,,,0,32,
633,Chromis,verater,Chordata,cone,double,471,,,adult,,,0,32,
634,Chromis,verater,Chordata,cone,double,514,,,adult,,,0,32,
635,Dascyllus,albisella,Chordata,rod,,490,,,adult,,,0,32,
636,Dascyllus,albisella,Chordata,cone,single,386,,,adult,,,0,32,
637,Dascyllus,albisella,Chordata,cone,single,483,,,adult,,,0,32,
638,Dascyllus,albisella,Chordata,cone,double,470,,,adult,,,0,32,
639,Dascyllus,albisella,Chordata,cone,double,514,,,adult,,,0,32,
640,Plectroglyphidodon,johnstonianus,Chordata,rod,,495,,,adult,,,0,32,
641,Plectroglyphidodon,johnstonianus,Chordata,cone,double,474,,,adult,,,0,32,
642,Plectroglyphidodon,johnstonianus,Chordata,cone,double,518,,,adult,,,0,32,
643,Pomacentrus,melanochir,Chordata,rod,,501,,,adult,,,0,29,
644,Pomacentrus,melanochir,Chordata,cone,single,502,,,adult,,,0,29,
645,Pomacentrus,melanochir,Chordata,cone,double,502,,,adult,,,0,29,
646,Pomacentrus,melanochir,Chordata,cone,double,560,,,adult,,,0,29,
647,Pomacentrus,melanochir,Chordata,cone,twin,502,,,adult,,,0,29,
648,Stegastes,fasciolatus,Chordata,rod,,495,,,adult,,,0,32,
649,Stegastes,fasciolatus,Chordata,cone,single,363,,,adult,,,0,32,
650,Stegastes,fasciolatus,Chordata,cone,double,470,,,adult,,,0,32,
651,Stegastes,fasciolatus,Chordata,cone,double,528,,,adult,,,0,32,
652,Thunnus,albacares,Chordata,rod,,483,,,adult,,,0,31,
653,Thunnus,albacares,Chordata,cone,single,426,,,adult,,,0,31,
654,Thunnus,albacares,Chordata,cone,twin,485,,,adult,,,0,31,
655,Acanthopagrus,butcheri,Chordata,rod,,509,,,adult,,,0,41,
656,Acanthopagrus,butcheri,Chordata,cone,single,476,,,adult,,,0,41,
657,Acanthopagrus,butcheri,Chordata,cone,double,545,,,adult,,,0,41,
658,Acanthopagrus,butcheri,Chordata,cone,double,575,,,adult,,,0,41,
659,Diplodus,annularis,Chordata,rod,,505,,,adult,,,0,18,
660,Diplodus,annularis,Chordata,cone,single,458,,,adult,,,0,18,
661,Diplodus,annularis,Chordata,cone,twin,537,,,adult,,,0,18,
662,Sphyraena,barracuda,Chordata,rod,,498,,,adult,,,0,32,
663,Sphyraena,barracuda,Chordata,cone,single,455,,,adult,,,0,32,
664,Sphyraena,barracuda,Chordata,cone,twin,531,,,adult,,,0,32,
665,Acantholumpenus,mackayi,Chordata,rod,,502,,,adult,,,0,24,
666,Acantholumpenus,mackayi,Chordata,cone,single,450,,,adult,,,0,24,
667,Acantholumpenus,mackayi,Chordata,cone,twin,519,,,adult,,,0,24,
668,Anoplarchus,purpurescens,Chordata,rod,,502,,,adult,,,0,5,
669,Anoplarchus,purpurescens,Chordata,cone,single,444,,,adult,,,0,5,
670,Anoplarchus,purpurescens,Chordata,cone,double,523,,,adult,,,0,5,
671,Anoplarchus,purpurescens,Chordata,cone,double,562,,,adult,,,0,5,
672,Chirolophis,japonicus,Chordata,rod,,502,,,adult,,,0,24,
673,Chirolophis,japonicus,Chordata,cone,single,455,,,adult,,,0,24,
674,Chirolophis,japonicus,Chordata,cone,double,520,,,adult,,,0,24,
675,Chirolophis,japonicus,Chordata,cone,double,550,,,adult,,,0,24,
676,Ernogrammus,hexagrammus,Chordata,rod,,506,,,adult,,,0,24,
677,Ernogrammus,hexagrammus,Chordata,cone,single,445,,,adult,,,0,24,
678,Ernogrammus,hexagrammus,Chordata,cone,double,515,,,adult,,,0,24,
679,Ernogrammus,hexagrammus,Chordata,cone,double,548,,,adult,,,0,24,
680,Lumpenus,sagitta,Chordata,rod,,496,,,adult,,,0,5,
681,Lumpenus,sagitta,Chordata,cone,single,434,,,adult,,,0,5,
682,Lumpenus,sagitta,Chordata,cone,single,520,,,adult,,,0,5,
683,Lumpenus,sagitta,Chordata,cone,twin,520,,,adult,,,0,5,
684,Opisthocentrus,ocellatus,Chordata,rod,,504,,,adult,,,0,24,
685,Opisthocentrus,ocellatus,Chordata,cone,single,442,,,adult,,,0,24,
686,Opisthocentrus,ocellatus,Chordata,cone,double,521,,,adult,,,0,24,
687,Opisthocentrus,ocellatus,Chordata,cone,double,557,,,adult,,,0,24,
688,Pholidapus,dybowsky,NA,rod,,522,,,adult,,,0,24,
