kooi_id,Family,Genus,Species,variable,LambdaMax,Full_Species
400,Apidae,Bombus,hortorum,Third,"524,544",Bombus hortorum
401,Apidae,Bombus,impatiens,Third,541,Bombus impatiens
402,Apidae,Bombus,jonellus,Third,542,Bombus jonellus
403,Apidae,Bombus,lapidarius,Third,540,Bombus lapidarius
404,Apidae,Bombus,monticola,Third,535,Bombus monticola
405,Apidae,Bombus,morio,Third,539,Bombus morio
406,Apidae,Bombus,terrestris dalmatinus,Third,533,Bombus terrestris dalmatinus
407,Apidae,Bombus,terrestris sassaricus,Third,538,Bombus terrestris sassaricus
408,Apidae,Bombus,terrestris terrestris,Third,529,Bombus terrestris terrestris
409,Apidae,Lestrimelitta,limao,Third,539,Lestrimelitta limao
410,Apidae,Melecta,punctata,Third,540,Melecta punctata
411,Apidae,Melipona,marginata,Third,540,Melipona marginata
412,Apidae,Melipona,quadrifasciata,Third,525,Melipona quadrifasciata
413,Apidae,Nomada,albogutata,Third,512,Nomada albogutata
414,Apidae,Partamona,helleri,Third,521,Partamona helleri
415,Apidae,Proxylocopa,sp.,Third,524,Proxylocopa sp.
416,Apidae,Schwarziana,sp.,Third,523,Schwarziana sp.
417,Apidae,Trigona,spinipes,Third,533,Trigona spinipes
418,Apidae,Xylocopa,brasilianorum,Third,538,Xylocopa brasilianorum
419,Crabronidae,Cerceris,rybynensis,Third,516,Cerceris rybynensis
420,Crabronidae,Philanthus,triangulum,Third,529,Philanthus triangulum
421,Formicidae,Cataglyphis,aenescens,Third,540,Cataglyphis aenescens
422,Formicidae,Cataglyphis,bicolor,Third,510,Cataglyphis bicolor
423,Formicidae,Formica,cunicularia,Third,540,Formica cunicularia
424,Formicidae,Formica,polyctena,Third,510,Formica polyctena
425,Formicidae,Myrmecia,croslandi,Third,550,Myrmecia croslandi
426,Formicidae,Myrmecia,gulosa,Third,540,Myrmecia gulosa
427,Formicidae,Myrmecia,vindex,Third,550,Myrmecia vindex
428,Formicidae,Solenopsis,saevissima,Third,620,Solenopsis saevissima
429,Vespidae,Dolichovespula,norwegica,Third,524,Dolichovespula norwegica
430,Vespidae,Paravespula,germanica,Third,534,Paravespula germanica
431,Vespidae,Paravespula,vulgaris,Third,531,Paravespula vulgaris
432,Vespidae,Polistes,dominulus,Third,527,Polistes dominulus
433,Vespidae,Vespa,crabro,Third,529,Vespa crabro
434,Halictidae,Lasioglossum,albipes,Third,516,Lasioglossum albipes
435,Halictidae,Lasioglossum,malachurum,Third,528,Lasioglossum malachurum
436,Megachilidae,Anthidium,manicatum,Third,531,Anthidium manicatum
437,Megachilidae,Chelostoma,florisomne,Third,548,Chelostoma florisomne
438,Megachilidae,Osmia,rufa,Third,553,Osmia rufa
439,Tenthredinidae,Tenthredo,campestris,Third,537,Tenthredo campestris
440,Tenthredinidae,Tenthredo,scrophulariae,Third,592,Tenthredo scrophulariae
441,Anobiidae,Lasioderma,serricorne,Third,528,Lasioderma serricorne
442,Buprestidae,Coroebus,undatus,Third,540,Coroebus undatus
443,Cantharidae,Chauliognathus,pulchellus,Third,520-530,Chauliognathus pulchellus
444,Carabidae,Carabus,nemoralis,Third,500,Carabus nemoralis
445,Carabidae,Carabus,auratus,Third,500,Carabus auratus
446,Carabidae,Cicindela,chinensis,Third,525,Cicindela chinensis
447,Carabidae,Cicindela,specularis,Third,510-530,Cicindela specularis
448,Carabidae,Cicindela,japonica,Third,510-530,Cicindela japonica
449,Chrysome-lidae,Leptinotarsa,decemlineata,Third,530,Leptinotarsa decemlineata
450,Coccinellidae,Coccinella,septempunctata,Third,520,Coccinella septempunctata
451,Curculionidae,Dendroctonus,pseudotsugae,Third,510-530,Dendroctonus pseudotsugae
452,Curculionidae,Ips,paraconfusus,Third,510-530,Ips paraconfusus
453,Curculionidae,Rynchophorus,ferrugineus,Third,521,Rynchophorus ferrugineus
454,Dytiscidae,Thermonectus,maromoratus,Third,520,Thermonectus maromoratus
455,Elateridae,Fulgeochlizus,bruchii,Third,550,Fulgeochlizus bruchii
456,Elateridae,Pyrearinus,termitilluminans,Third,550,Pyrearinus termitilluminans
457,Elateridae,Pyrophorus,punctatissimus,Third,560,Pyrophorus punctatissimus
458,Elateridae,Pyrophorus,divergens,Third,560,Pyrophorus divergens
459,Elateridae,Photuris,lucicrescens,Third,550,Photuris lucicrescens
460,Gyrinidae,Dineutus,ciliatus,Third,520,Dineutus ciliatus
461,Glaphyridae,Pygopleurus,israelitus,Third,517,Pygopleurus israelitus
462,Lampyridae,Curtos,sp.,Third,500-560,Curtos sp.
463,Lampyridae,Cyphonocerus,rufficolis,Third,560,Cyphonocerus rufficolis
464,Lampyridae,Hotaria,parvula,Third,500-560,Hotaria parvula
465,Lampyridae,Lucidina,biplagiata,Third,500-560,Lucidina biplagiata
466,Lampyridae,Luciola,sp.,Third,500-560,Luciola sp.
467,Lampyridae,Luicola,cruciata,Third,530,Luicola cruciata
468,Lampyridae,Luciola,lateralis,Third,500-560,Luciola lateralis
469,Lampyridae,Photinus,pyralis,Third,545,Photinus pyralis
470,Lampyridae,Photinus,scintillans,Third,557,Photinus scintillans
471,Lampyridae,Pyrocoelia,sp.,Third,500-560,Pyrocoelia sp.
472,Rhagophthal-midae,Rhagoph-thalmus,ohbai,Third,540-560,Rhagoph-thalmus ohbai
473,Scarabaeidae,Anomala,corpulenta,Third,498-562,Anomala corpulenta
474,Scarabaeidae,Lethrus,apterus,Third,525,Lethrus apterus
475,Scarabaeidae,Onitis,alexis,Third,540,Onitis alexis
476,Scarabaeidae,Protaetia,brevitarsis,Third,510-530,Protaetia brevitarsis
477,Tenebrionidae,Tenebrio,molitor,Third,520-550,Tenebrio molitor
478,Pieridae,Colias,erate,Fourth,580.0,Colias erate
479,Pieridae,Leptidae,amurensis,Fourth,520.0,Leptidae amurensis
480,Pieridae,Pieris,brassicae,Fourth,560.0,Pieris brassicae
481,Pieridae,Pieris,rapae crucivora,Fourth,560.0,Pieris rapae crucivora
482,Papillionidae,Graphium,sarpedon,Fourth,480.0,Graphium sarpedon
483,Papillionidae,Papilio,aegeus,Fourth,540.0,Papilio aegeus
484,Papillionidae,Papilio,xuthus,Fourth,520.0,Papilio xuthus
485,Papillionidae,Troides,aeacus formosanum,Fourth,510.0,Troides aeacus formosanum
486,Nymphalidae,Sasakia,charonda,Fourth,520.0,Sasakia charonda
487,Nymphalidae,Parantica,sita,Fourth,560.0,Parantica sita
488,Nymphalidae,Heliconius,erato,Fourth,560.0,Heliconius erato
489,Nymphalidae,Polygonia,c-aureum,Fourth,520.0,Polygonia c-aureum
490,Nymphalidae,Asterocampa,celtis,Fourth,530.0,Asterocampa celtis
491,Nymphalidae,Asterocampa,leilia,Fourth,530.0,Asterocampa leilia
492,Nymphalidae,Archaeoprepona,demophon,Fourth,565.0,Archaeoprepona demophon
493,Nymphalidae,Agraulis,vanillae,Fourth,555.0,Agraulis vanillae
494,Nymphalidae,Heliconius,charithonia,Fourth,550.0,Heliconius charithonia
495,Nymphalidae,Heliconius,hecale,Fourth,560.0,Heliconius hecale
496,Nymphalidae,Heliconius,sara,Fourth,550.0,Heliconius sara
497,Nymphalidae,Limenitis,archippus archippus,Fourth,514.0,Limenitis archippus archippus
498,Nymphalidae,Limenitis,archippus astyanax,Fourth,545.0,Limenitis archippus astyanax
499,Nymphalidae,Limenitis,archippus floridensis,Fourth,514.0,Limenitis archippus floridensis
500,Nymphalidae,Limenitis,lorquini,Fourth,530.0,Limenitis lorquini
501,Nymphalidae,Limenitis,weidemeyerii,Fourth,530.0,Limenitis weidemeyerii
502,Nymphalidae,Anartia,jatrophae,Fourth,565.0,Anartia jatrophae
503,Nymphalidae,Euphydryas,chalcedona,Fourth,565.0,Euphydryas chalcedona
504,Nymphalidae,Inachis,io,Fourth,530.0,Inachis io
505,Nymphalidae,Junonia,coenia,Fourth,510.0,Junonia coenia
506,Nymphalidae,Nymphalis,antiopa,Fourth,534.0,Nymphalis antiopa
507,Nymphalidae,Siproeta,stelenes,Fourth,522.0,Siproeta stelenes
508,Nymphalidae,Vanessa,cardui,Fourth,530.0,Vanessa cardui
509,Nymphalidae,Hermeuptychia,hermes,Fourth,530.0,Hermeuptychia hermes
510,Nymphalidae,Neominois,ridingsii,Fourth,515.0,Neominois ridingsii
511,Nymphalidae,Oeneis,chryxus,Fourth,530.0,Oeneis chryxus
512,Lycaenidae,Lycaena,heteronea,Fourth,568.0,Lycaena heteronea
513,Lycaenidae,Lycaena,rubidus,Fourth,568.0,Lycaena rubidus
514,Riodinidae,Apodemia,mormo,Fourth,600.0,Apodemia mormo
515,Castnidaee,Payasandisia,archon,Fourth,580.0,Payasandisia archon
516,Crambidae,Ostrinia,nubilalis,Fourth,530.0,Ostrinia nubilalis
517,Hepialidae,Phassus,excrescens,Fourth,580.0,Phassus excrescens
518,Noctuidae,Mamestra,brassicae,Fourth,580.0,Mamestra brassicae
519,Noctuidae,Spodoptera,exempta,Fourth,560.0,Spodoptera exempta
520,Saturniidae,Actias,artemis aliena,Fourth,580.0,Actias artemis aliena
521,Saturniidae,Samia,cyntia ricini,Fourth,560.0,Samia cyntia ricini
522,Sphingidae,Ampelophaga,rubiginosa,Fourth,580.0,Ampelophaga rubiginosa
523,Sphingidae,Callambulyx,tatarinovii,Fourth,580.0,Callambulyx tatarinovii
524,Sphingidae,Marumba,sperchius,Fourth,600.0,Marumba sperchius
525,Tortricidae,Cydia,pomonella,Fourth,580.0,Cydia pomonella
526,Libellulidae,Sympetrum,rubicundulum,Fourth,540.0,Sympetrum rubicundulum
527,Libellulidae,Libellula,needhami,Fourth,519.0,Libellula needhami
528,Aeschnidae,Aeschna,cyanea and mixta,Fourth,519.0,Aeschna cyanea and mixta
529,Corduliidae,Hemicordulia,tau,Fourth,525.0,Hemicordulia tau
530,Caloptery-gidae,Calypteryx,splendens and virgo,Fourth,552.0,Calypteryx splendens and virgo
531,Coenagrio-nidae,Ischnura,heterosticta,Fourth,525.0,Ischnura heterosticta
532,Panorpidae,Panorpa,communis,Fourth,540.0,Panorpa communis
533,Glossinidae,Glossina,moritans moritans,Fourth,450.0,Glossina moritans moritans
534,Calliphoridae,Calliphora,vicina,Fourth,460.0,Calliphora vicina
535,Muscidae,Musca,domestica,Fourth,460.0,Musca domestica
536,Diopsidae,Cyrtodiopsis,dalmanni,Fourth,450.0,Cyrtodiopsis dalmanni
537,Drosophilidae,Drosophila,melanogaster,Fourth,440.0,Drosophila melanogaster
538,Andrenidae,Callonychium,petuniae,Fourth,593.0,Callonychium petuniae
539,Tenthredinidae,Tenthredo,campestris,Fourth,602.0,Tenthredo campestris
540,Buprestidae,Coroebus,undatus,Fourth,600.0,Coroebus undatus
541,Carabidae,Carabus,nemoralis,Fourth,620.0,Carabus nemoralis
542,Carabidae,Carabus,auratus,Fourth,620.0,Carabus auratus
543,Curculionidae,Rynchophorus,ferrugineus,Fourth,537.0,Rynchophorus ferrugineus
544,Glaphyridae,Pygopleurus,israelitus,Fourth,631.0,Pygopleurus israelitus
545,Rhagophthal-midae,Rhagoph-thalmus,ohbai,Fourth,600.0,Rhagoph-thalmus ohbai
546,Pieridae,Colias,erate,Fifth,660.0,Colias erate
547,Pieridae,Colias,erate,Fifth,640.0,Colias erate
548,Pieridae,Pieris,rapae crucivora,Fifth,620.0,Pieris rapae crucivora
549,Papillionidae,Graphium,sarpedon,Fifth,500.0,Graphium sarpedon
550,Papillionidae,Papilio,aegeus,Fifth,610.0,Papilio aegeus
551,Papillionidae,Papilio,xuthus,Fifth,600.0,Papilio xuthus
552,Papillionidae,Troides,aeacus formosanum,Fifth,540.0,Troides aeacus formosanum
553,Nymphalidae,Sasakia,charonda,Fifth,540.0,Sasakia charonda
554,Nymphalidae,Heliconius,erato,Fifth,600.0,Heliconius erato
555,Nymphalidae,Polygonia,c-aureum,Fifth,540.0,Polygonia c-aureum
556,Libellulidae,Sympetrum,rubicundulum,Fifth,620.0,Sympetrum rubicundulum
557,Aeschnidae,Aeschna,cyanea and mixta,Fifth,615.0,Aeschna cyanea and mixta
558,Corduliidae,Hemicordulia,tau,Fifth,630.0,Hemicordulia tau
559,Caloptery-gidae,Calypteryx,splendens and virgo,Fifth,640.0,Calypteryx splendens and virgo
560,Coenagrio-nidae,Ischnura,elegans,Fifth,600.0,Ischnura elegans
561,Stratomyidae,Hermetia,illucans,Fifth,535.0,Hermetia illucans
562,Syrphidae,Eristalis,tenax,Fifth,520.0,Eristalis tenax
563,Glossinidae,Glossina,moritans moritans,Fifth,520.0,Glossina moritans moritans
564,Calliphoridae,Calliphora,vicina,Fifth,530.0,Calliphora vicina
565,Muscidae,Musca,domestica,Fifth,530.0,Musca domestica
566,Diopsidae,Cyrtodiopsis,dalmanni,Fifth,660.0,Cyrtodiopsis dalmanni
567,Drosophilidae,Drosophila,melanogaster,Fifth,520.0,Drosophila melanogaster
568,Curculionidae,Rynchophorus,ferrugineus,Fifth,564.0,Rynchophorus ferrugineus
569,Pieridae,Colias,erate,Sixth,620.0,Colias erate
570,Pieridae,Pieris,rapae crucivora,Sixth,640.0,Pieris rapae crucivora
571,Papillionidae,Graphium,sarpedon,Sixth,540.0,Graphium sarpedon
572,Papillionidae,Troides,aeacus formosanum,Sixth,550.0,Troides aeacus formosanum
573,Nymphalidae,Sasakia,charonda,Sixth,560.0,Sasakia charonda
574,Nymphalidae,Polygonia,c-aureum,Sixth,560.0,Polygonia c-aureum
575,Pieridae,Colias,erate,Remaining,660,Colias erate
576,Papillionidae,Graphium,sarpedon,Remaining,"560,580,600,640",Graphium sarpedon
577,Papillionidae,Troides,aeacus formosanum,Remaining,"580,610,630",Troides aeacus formosanum
578,Nymphalidae,Polygonia,c-aureum,Remaining,580,Polygonia c-aureum
