order,family,genus,species,first,,second,,third,,fourth,,fifth,,sixth,,remaining,,method(s),opsins_known?,screening_pigments?,added_by,comment,ref1,ref1_url/doi,ref2,ref2_url/doi,,,,,,
Coleoptera,Lampyridae,Curtos,sp,x,,x,,500-560,,,,,,,,,,ERG,No,,GB,"Unclear data in original article; multiple species (L cruciata, lateralis male, kuroiwae, yayeyamana) merged","Eguchi, E., Nemoto, A., Meyer-Rochow, V. B., & Ohba, N. (1984). A comparative study of spectral sensitivity curves in three diurnal and eight nocturnal species of Japanese fireflies. Journal of insect physiology, 30(8), 607-612.",https://doi.org/10.1016/0022-1910(84)90044-1,,,,,,,,
Coleoptera,Lampyridae,Cyphonocerus,rufficolis,x,,483,,560,,,,,,,,,,ERG,No,,GB,"Unclear data in original article; multiple species (L cruciata, lateralis male, kuroiwae, yayeyamana) merged","Eguchi, E., Nemoto, A., Meyer-Rochow, V. B., & Ohba, N. (1984). A comparative study of spectral sensitivity curves in three diurnal and eight nocturnal species of Japanese fireflies. Journal of insect physiology, 30(8), 607-612.",https://doi.org/10.1016/0022-1910(84)90044-1,,,,,,,,
Coleoptera,Lampyridae,Ellychnia,sp.,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,"Sander, S. E., & Hall, D. W. (2015). Variation in opsin genes correlates with signalling ecology in N orth A merican fireflies. Molecular ecology, 24(18), 4679-4696.",https://doi.org/10.1111/mec.13346,,,,,,
Coleoptera,Lampyridae,Hotaria,parvula,x,,,,500-560,,,,,,,,,,ERG,No,,GB,"Unclear data in original article; multiple species (L cruciata, lateralis male, kuroiwae, yayeyamana) merged","Eguchi, E., Nemoto, A., Meyer-Rochow, V. B., & Ohba, N. (1984). A comparative study of spectral sensitivity curves in three diurnal and eight nocturnal species of Japanese fireflies. Journal of insect physiology, 30(8), 607-612.",https://doi.org/10.1016/0022-1910(84)90044-1,,,,,,,,
Coleoptera,Lampyridae,Lampyris,noctiluca,,,x,,x,,,,,,,,,,behaviour,No,,GB,evidence for a blue-green opponent system ,"Booth, D., Stewart, A. J., & Osorio, D. (2004). Colour vision in the glow-worm Lampyris noctiluca (L.)(Coleoptera: Lampyridae): evidence for a green-blue chromatic mechanism. Journal of experimental biology, 207(14), 2373-2378.",https://doi.org/10.1242/jeb.01044,,,,,,,,
Coleoptera,Lampyridae,Lucidina,biplagiata,x,,,,500-560,,,,,,,,,,ERG,No,,GB,"Unclear data in original article; multiple species (L cruciata, lateralis male, kuroiwae, yayeyamana) merged","Eguchi, E., Nemoto, A., Meyer-Rochow, V. B., & Ohba, N. (1984). A comparative study of spectral sensitivity curves in three diurnal and eight nocturnal species of Japanese fireflies. Journal of insect physiology, 30(8), 607-612.",https://doi.org/10.1016/0022-1910(84)90044-1,,,,,,,,
Coleoptera,Lampyridae,Lucidota,atra,x,,,,x,,,,,,,,,,,,,GB,,"Sander, S. E., & Hall, D. W. (2015). Variation in opsin genes correlates with signalling ecology in N orth A merican fireflies. Molecular ecology, 24(18), 4679-4696.",https://doi.org/10.1111/mec.13346,,,,,,,,
Coleoptera,Lampyridae,Luciola,sp,x,,,,500-560,,,,,,,,,,"ERG, transcriptomics",Yes (Ref 2),,GB,"Unclear data in original article; multiple species (L cruciata, lateralis male, kuroiwae, yayeyamana) merged","Eguchi, E., Nemoto, A., Meyer-Rochow, V. B., & Ohba, N. (1984). A comparative study of spectral sensitivity curves in three diurnal and eight nocturnal species of Japanese fireflies. Journal of insect physiology, 30(8), 607-612.",https://doi.org/10.1016/0022-1910(84)90044-1,"Oba, Y., & Kainuma, T. (2009). Diel changes in the expression of long wavelength-sensitive and ultraviolet-sensitive opsin genes in the Japanese firefly, Luciola cruciata. Gene, 436(1-2), 66-70.",https://doi.org/10.1016/j.gene.2009.02.001,,,,,,
Coleoptera,Lampyridae,Luciola ,lateralis,x,,450,"mismatch ephys-transcriptomics. No UVS opsin duplication found in Sharkey et al, but Eguchi found a blue opsin, using very bad ephys",500-560,,,,,,,,,,ERG,No,,GB,female,"Eguchi, E., Nemoto, A., Meyer-Rochow, V. B., & Ohba, N. (1984). A comparative study of spectral sensitivity curves in three diurnal and eight nocturnal species of Japanese fireflies. Journal of insect physiology, 30(8), 607-612.",https://doi.org/10.1016/0022-1910(84)90044-1,,,,,,,,
Coleoptera,Lampyridae,Luicola,cruciata,,,,,530,100,,,,,,,,,intracellular,,,GB,brain photoreceptor,"Hariyama, T. Naturwissenschaften (2000) 87: 327. ",https://doi.org/10.1007/s001140050732,,,,,,,,
Coleoptera,Lampyridae,Micronaspis,floridana,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Lampyridae,Microphotus,sp.,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Lampyridae,Phausis,reticulata,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,"Sander, S. E., & Hall, D. W. (2015). Variation in opsin genes correlates with signalling ecology in N orth A merican fireflies. Molecular ecology, 24(18), 4679-4696.",https://doi.org/10.1111/mec.13346,,,,,,
Coleoptera,Lampyridae,Photinus,marginellus,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,"Sander, S. E., & Hall, D. W. (2015). Variation in opsin genes correlates with signalling ecology in N orth A merican fireflies. Molecular ecology, 24(18), 4679-4696.",https://doi.org/10.1111/mec.13346,,,,,,
Coleoptera,Lampyridae,Photinus,pyralis,x,,,,545 / x,,,,,,,,,,"MSP, transcriptomics",Yes,,GB,,"Cronin TW, Jarvilehto M, Weckstrom
M, Lall AB. 2000. Tuning of photoreceptor
spectral sensitivity in fireflies (Coleoptera:
Lampyridae). J. Comp. Physiol. A
186:1–12",https://doi.org/10.1007/s003590050,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,"Sander, S. E., & Hall, D. W. (2015). Variation in opsin genes correlates with signalling ecology in N orth A merican fireflies. Molecular ecology, 24(18), 4679-4696.",https://doi.org/10.1111/mec.13346,,,,
Coleoptera,Lampyridae,Photinus,scintillans,x,,,,557,,,,,,,,,,"MSP, transcriptomics",Yes,,GB,,"Cronin TW, Jarvilehto M, Weckstrom
M, Lall AB. 2000. Tuning of photoreceptor
spectral sensitivity in fireflies (Coleoptera:
Lampyridae). J. Comp. Physiol. A
186:1–12",https://doi.org/10.1007/s003590050,"Sander, S. E., & Hall, D. W. (2015). Variation in opsin genes correlates with signalling ecology in N orth A merican fireflies. Molecular ecology, 24(18), 4679-4696.",https://doi.org/10.1111/mec.13346,,,,,,
Coleoptera,Lampyridae,Photuris,sp.,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,"Sander, S. E., & Hall, D. W. (2015). Variation in opsin genes correlates with signalling ecology in N orth A merican fireflies. Molecular ecology, 24(18), 4679-4696.",https://doi.org/10.1111/mec.13346,,,,,,
Coleoptera,Lampyridae,Pyractomena,dispersa,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Lampyridae,Pyractomena,sp.,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sander, S. E., & Hall, D. W. (2015). Variation in opsin genes correlates with signalling ecology in N orth A merican fireflies. Molecular ecology, 24(18), 4679-4696.",https://doi.org/10.1111/mec.13346,,,,,,,,
Coleoptera,Lampyridae,Pyrocoelia,sp,x,,,,500-560,,,,,,,,,,ERG,No,,GB,"Unclear data in original article; multiple species (L cruciata, lateralis male, kuroiwae, yayeyamana) merged","Eguchi, E., Nemoto, A., Meyer-Rochow, V. B., & Ohba, N. (1984). A comparative study of spectral sensitivity curves in three diurnal and eight nocturnal species of Japanese fireflies. Journal of insect physiology, 30(8), 607-612.",https://doi.org/10.1016/0022-1910(84)90044-1,,,,,,,,
Coleoptera,Lepiceridae,Lepicerus,sp.,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Meloidae,Meloe,violaceus,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Micromalthidae,Micromalthus,debilis,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Nitidulidae,Aethina,tumida,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Nitidulidae,Brassicogethes,aeneus,xx (2-3 copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Rhagophthalmidae,Rhagophthalmus ,ohbai,360,,,,540-560,,600,,,,,,,,ERG,No,,GB,"Male only. Ventral eye 600, dorsal 540, dorsal margin 360","Lau, T. F. S., Ohba, N., Arikawa, K., & Meyer-Rochow, V. B. (2007). Sexual dimorphism in the compound eye of Rhagophthalmus ohbai (Coleoptera: Rhagophthalmidae): II. Physiology and function of the eye of the male. Journal of Asia-Pacific Entomology, 10(1), 27-31.",https://doi.org/10.1016/S1226-8615(08)60327-1,,,,,,,,
Coleoptera,Ripiphoridae,Macrosiagon,limbatum,x,,,,xx (two copies),,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Scarabaeidae,Anomala,corpulenta,400,,460,,498-562,,,,,,,,,,ERG,No,,GB,,"Jiang Y, Guo Y, Wu Y, Li T, Duan Y, Miao J, et al. Spectral sensitivity of the
compound eyes of Anomala corpulenta Motschulsky (Coleoptera:
Scarabaeoidea). J Integr Agric. 2014;3119:1–15.",https://doi.org/10.1016/S2095-3119(14)60863-7,,,,,,,,
Coleoptera,Scarabaeidae,Heterochelus,sp.,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Scarabaeidae,Lethrus,apterus,355,,,,525,,,,,,,,,,"intracellular, ERG",No,,GB,,"Gribakin FG. Automatic spectrosensitometry of photoreceptors in Lethrus
(Coleoptera, Scarabaeidae). J Comp Physiol A. 1981;142:95–102.",https://doi.org/10.1007/BF00605481,,,,,,,,
Coleoptera,Scarabaeidae,Onitis,alexis,370,60,,,540,100,,,,,,,,,intracellular,No,,GB,,"Warrant, E.J. & McIntyre, P.D. J Comp Physiol A (1990) 167: 785.",https://doi.org/10.1007/BF00189768,,,,,,,,
Coleoptera,Scarabaeidae,Onthophagus,taurus,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Scarabaeidae,Protaetia,brevitarsis,360-380,,,,510-530,,,,,,,,,,ERG,No,,GB,,"Lin JT, Wu CY. A comparative study on the color vision of four coleopterous
insects. Bull Inst Zool Acad Sin. 1992;31:81–8.",,,,,,,,,
Coleoptera,Scolytinae,Euwallacea,fornicatus,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Scolytinae,Tomicus,yunnanensis,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Silphidae,Nicrophorus,vespilloides,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Staphylinidae,Aleochara,curtula,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Tenebrionidae,Lagria,hirta,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Tenebrionidae,Tenebrio,molitor,,,,,520-550 / x,,,,,,,,,,"ERG, transcriptomics",Yes,,GB,perfect match in a species between ephys and transcriptomics,Yinon U. The visual mechanisms of Tenebrio molitor: some aspects of the spectral response. J Exp Biol. 1970;53:221–9.,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,
Coleoptera,Tenebrionidae,Tribolium ,castaneum,x,,,,x,,,,,,,,,,"transcriptomics, in situ hyb.",Yes,,GB,,"Jackowska, M., Bao, R., Liu, Z., McDonald, E. C., Cook, T. A., & Friedrich, M. (2007). Genomic and gene regulatory signatures of cryptozoic adaptation: Loss of blue sensitive photoreceptors through expansion of long wavelength-opsin expression in the red flour beetle Tribolium castaneum. Frontiers in zoology, 4(1), 24.",https://doi.org/10.1186/1742-9994-4-24,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,
Coleoptera,Vesperidae,Migdolus,fryanus,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Diptera,Anthomyidae,Delia,radicum,,,,,490,,,,,,,,,,ERG,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,"Brown & Anderson, 1996",https://doi.org/10.1017/S0007485300034908,,,,,,
Diptera,Bibionidae,Bibio,marci,350,,,,520,,,,,,,,,,ERG,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Burkhardt & De LaMotte 1972,book,Kirschfeld 1986,,,,,
Diptera,Bibionidae,Bibio,marci,350,,,,"520 V, 440 D",,,,,,,,,,ERG,,R1-6:sensitizing pigment D,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Burkhart & De LaMotte 1972,book,,,,,,
Diptera,Bibionidae,Bibio,sp,350,,,,440,,,,,,,,,,ERG,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Burkhart & De LaMotte 1972,book,,,,,,
Diptera,Calliphoridae,Calliphora,erythrocephala,360,,,,490,,,,,,,,,,,,R1-6:sensitizing pigment,AK,,Paul et al 1986,https://doi.org/10.1007/BF00603824,Hardie 1986,https://doi.org/10.1016/0166-2236(86)90136-0,,,Bernard & Stavenga 1979,https://doi.org/10.1016/0166-2236(86)90136-0,,
Diptera,Calliphoridae,Calliphora,vicina,335,,355,,490,,460,,530,,,,,,,,sensitizing pigment,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",from Briscoe and Chittka 2001,Bernard & Stavenga 1979,https://doi.org/10.1007/BF00610467,,,,,,
Diptera,Calliphoridae,Lucilia (Phaenicia),serricata,,,,,480,,,,,,,,,,intracellular,,R1-6:sensitizing pigment,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,"McCann & Arnett, 1972",https://doi.org/10.1085/jgp.59.5.534,,,,,,
Diptera,Chloropidae,Chlorops ,sp,,,,,480,,,,,,,,,,Pupil,,,AK,,Bernard & Stavenga 1979,https://doi.org/10.1007/BF00610467,,,,,,,,
Diptera,Culicidae,Aedes,aegypti,"345 V, 333 D",,,,523,,,,,,,,,,ERG,,"opsin P520, Stein et al 1979",AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Muir et al 1992,https://doi.org/10.1093/jmedent/29.2.278,,,,,,
Diptera,Culicidae,Aedes,albopictus,,,,,515 D,,,,,,,,,,ERG,,R1-6:sensitizing pigment D,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Belusic in prep,,,,,,,
Diptera,Diopsidae,Cyrtodiopsis,dalmanni,360,,,,490,,450,,660?,,,,,,ERG,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",from Briscoe and Chittka 2001,Burkhardt 1972,https://doi.org/10.1007/BF00696633,,,,,,
Diptera,Dolichopodiade,Condylostylus,japonicus,340,,,,480,,,,,,,,,,,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Stavenga et al 2017,https://doi.org/10.1007/s00359-016-1131-y,,,,,,
Diptera,Drosophilidae,Drosophila ,melanogaster,345 (331),,370 (355),,480 (486),,440 (442),,520 (515),,,,,,,,"ectopically expressed Rh5,6",AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",from Briscoe and Chittka 2001,Salcedo et al 1999,https://doi.org/10.1523/JNEUROSCI.19-24-10716.1999,,"Bernard GD, Stavenga DG. 1979.",https://doi.org/10.1007/BF00610467,,,
Diptera,Ephydridae,Dimecoenia ,spinosa,,,,,480,,,,,,,,,,Pupil,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",from Briscoe and Chittka 2001,Bernard & Stavenga 1979,https://doi.org/10.1007/BF00610467,,,,,,
Diptera,Glossinidae,Glossina sp,moritans moritans,350,,,,500,,450,,520,,,,,,"ERG, intracellular",,R1-6:sensitizing pigment,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Green and Cosens 1983,https://doi.org/10.1016/0022-1910(83)90009-4,Hardie et al 1989,https://doi.org/10.1016/0022-1910(89)90117-0,,,,
Diptera,Keroplatidae,Arachnocampa,luminosa,,,,,540,,,,,,,,,,ERG,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Meyer-Rochiow & Eguchi 1984,https://doi.org/10.1080/00779962.1984.9722483,,,,,,
Diptera,Muscidae,Musca,domestica,335,,355,,490,,460,,530,,,,,,,,sensitizing pigment,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",from Briscoe and Chittka 2001,Hardie 1986,https://doi.org/10.1007/BF00663107,,,,,,
Diptera,Psychodidae,Lutzomyia,longipalpis,≈340,,,,520,,,,,,,,,,ERG,,recordings only between 340 and 670nm,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Mellor et al 1996,https://doi.org/10.1111/j.1365-2915.1996.tb00759.x,,,,,,
Diptera,Psychodidae,Lutzomyia,longipalpis ,,,,,546,,,,,,,,,,ERG,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Mellor et al 1996,https://doi.org/10.1111/j.1365-2915.1996.tb00759.x,,,,,,
Diptera,Simuliidae,Simulium ,sp,,,,,430,,,,,,,,,,"intracellular, MSP",,"high sensitivity at 340 nm due to sensitizing pigment, likely also R1-6 but that is not clear.",AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Kirschfeld & Vogt 1986,https://doi.org/10.1016/0042-6989(86)90127-6,,,,,,
Diptera,Stratomyidae,Hermetia,illucans,332,,351,,"367 V, 437 E, 504 D",,,,535,,,,,,intracellular,,R1-6:sensitizing pigment V,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Oonincx et al. 2016,https://doi.org/10.1016/j.jinsphys.2016.10.006,,,,,,
