max_id,Phylum,Class,Order,Family,Full_Species,Type,LambdaMax,Band,Oil,Nocturnal Activity,Diurnal Activity,Source
232,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Pseudozizeeria maha,,400,,,N,Y,Eguchi et al. 1982
233,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Pseudozizeeria maha,,520,,,N,Y,Eguchi et al. 1982
234,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Pseudozizeeria maha,,580,,,N,Y,Eguchi et al. 1982
235,Arthropoda,Insecta,Lepidoptera,Noctuidae,Anadevidia peponis,,420,,,Y,N,Eguchi et al. 1982
236,Arthropoda,Insecta,Lepidoptera,Noctuidae,Anadevidia peponis,,460,,,Y,N,Eguchi et al. 1982
237,Arthropoda,Insecta,Lepidoptera,Noctuidae,Anadevidia peponis,,500,,,Y,N,Eguchi et al. 1982
238,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mamestra brassicae,,360,,,Y,N,Ichikawa & Tateda 1982
239,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mamestra brassicae,,460,,,Y,N,Ichikawa & Tateda 1982
240,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mamestra brassicae,,540,,,Y,N,Ichikawa & Tateda 1982
241,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mamestra brassicae,,580,,,Y,N,Ichikawa & Tateda 1982
242,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera exempta,,355,,,Y,N,Langer et al. 1979
243,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera exempta,,465,,,Y,N,Langer et al. 1979
244,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera exempta,,515,,,Y,N,Langer et al. 1979
245,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera exempta,,560,,,Y,N,Langer et al. 1979
246,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais urticae,,380,,,N,Y,Steiner et al. 1987
247,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais urticae,,460,,,N,Y,Steiner et al. 1987
248,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais urticae,,530,,,N,Y,Steiner et al. 1987
249,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnis ruslana,,380,,,N,Y,Eguchi et al. 1982
250,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnis ruslana,,440,,,N,Y,Eguchi et al. 1982
251,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnis ruslana,,560,,,N,Y,Eguchi et al. 1982
252,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnis ruslana,,620,,,N,Y,Eguchi et al. 1982
253,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Fabriciana adippe,,380,,,N,Y,Eguchi et al. 1982
254,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Fabriciana adippe,,460,,,N,Y,Eguchi et al. 1982
255,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Fabriciana adippe,,520,,,N,Y,Eguchi et al. 1982
256,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Fabriciana adippe,,580,,,N,Y,Eguchi et al. 1982
257,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius erato,,370,,,N,Y,Weller & Pashley 1995
258,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius erato,,470,,,N,Y,Weller & Pashley 1995
259,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius erato,,570,,,N,Y,Weller & Pashley 1995
260,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius numata,,390,,,N,Y,"Struwe 1972 a, b"
261,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius numata,,460,,,N,Y,"Struwe 1972 a, b"
262,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius numata,,540,,,N,Y,"Struwe 1972 a, b"
263,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius sara,,370,,,N,Y,Struew 1972 b
264,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius sara,,470,,,N,Y,Struew 1972 b
265,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius sara,,550,,,N,Y,Struew 1972 b
266,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Minois dryas,,380,,,N,Y,Eguchi et al. 1982
267,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Minois dryas,,460,,,N,Y,Eguchi et al. 1982
268,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Minois dryas,,520,,,N,Y,Eguchi et al. 1982
269,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Neope goschkevitschii,,380,,,N,Y,Eguchi et al. 1982
270,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Neope goschkevitschii,,460,,,N,Y,Eguchi et al. 1982
271,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Neope goschkevitschii,,520,,,N,Y,Eguchi et al. 1982
272,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis xanthomelas,,380,,,N,Y,Eguchi et al. 1982
273,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis xanthomelas,,460,,,N,Y,Eguchi et al. 1982
274,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis xanthomelas,,500,,,N,Y,Eguchi et al. 1982
275,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis xanthomelas,,560,,,N,Y,Eguchi et al. 1982
276,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Parage aegeria,,360,,,N,Y,Paul et al. 1986
277,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Parage aegeria,,460,,,N,Y,Paul et al. 1986
278,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Parage aegeria,,530,,,N,Y,Paul et al. 1986
279,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia c-album,,380,,,N,Y,Eguchi et al. 1982
280,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia c-album,,520,,,N,Y,Eguchi et al. 1982
281,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia c-album,,560,,,N,Y,Eguchi et al. 1982
282,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia c-album,,620,,,N,Y,Eguchi et al. 1982
283,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa cardui,,360,,,N,Y,Bernard 1979; Briscoe et al. 2003
284,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa cardui,,470,,,N,Y,Bernard 1979; Briscoe et al. 2003
285,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa cardui,,530,,,N,Y,Bernard 1979; Briscoe et al. 2003
286,Arthropoda,Insecta,Lepidoptera,Papilionidae,Atrophaneura alcinous,,420,,,N,Y,Eguchi et al. 1982
287,Arthropoda,Insecta,Lepidoptera,Papilionidae,Atrophaneura alcinous,,460,,,N,Y,Eguchi et al. 1982
288,Arthropoda,Insecta,Lepidoptera,Papilionidae,Atrophaneura alcinous,,520,,,N,Y,Eguchi et al. 1982
289,Arthropoda,Insecta,Lepidoptera,Papilionidae,Atrophaneura alcinous,,600,,,N,Y,Eguchi et al. 1982
290,Arthropoda,Insecta,Lepidoptera,Papilionidae,Graphium sarpedon,,380,,,N,Y,Eguchi et al. 1982
291,Arthropoda,Insecta,Lepidoptera,Papilionidae,Graphium sarpedon,,460,,,N,Y,Eguchi et al. 1982
292,Arthropoda,Insecta,Lepidoptera,Papilionidae,Graphium sarpedon,,560,,,N,Y,Eguchi et al. 1982
293,Arthropoda,Insecta,Lepidoptera,Papilionidae,Graphium sarpedon,,600,,,N,Y,Eguchi et al. 1982
294,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio achaon,,380,,,N,Y,Eguchi et al. 1982
295,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio achaon,,460,,,N,Y,Eguchi et al. 1982
296,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio achaon,,520,,,N,Y,Eguchi et al. 1982
297,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio achaon,,580,,,N,Y,Eguchi et al. 1982
298,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio aegeus,,360,,,N,Y,Matic 1983
299,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio aegeus,,450,,,N,Y,Matic 1983
300,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio aegeus,,540,,,N,Y,Matic 1983
301,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio aegeus,,610,,,N,Y,Matic 1983
302,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio maackii,,380,,,N,Y,Eguchi et al. 1982
303,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio maackii,,460,,,N,Y,Eguchi et al. 1982
304,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio maackii,,520,,,N,Y,Eguchi et al. 1982
305,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio maackii,,580,,,N,Y,Eguchi et al. 1982
306,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio protenor,,420,,,N,Y,Eguchi et al. 1982
307,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio protenor,,460,,,N,Y,Eguchi et al. 1982
308,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio protenor,,520,,,N,Y,Eguchi et al. 1982
309,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio xuthus,,360,,,N,Y,Eguchi et al. 1982; Arikawa et al. 1987
310,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio xuthus,,400,,,N,Y,Eguchi et al. 1982; Arikawa et al. 1987
311,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio xuthus,,440,,,N,Y,Eguchi et al. 1982; Arikawa et al. 1987
312,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio xuthus,,520,,,N,Y,Eguchi et al. 1982; Arikawa et al. 1987
313,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio xuthus,,600,,,N,Y,Eguchi et al. 1982; Arikawa et al. 1987
314,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilo bianor,,420,,,N,Y,Eguchi et al. 1982
315,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilo bianor,,460,,,N,Y,Eguchi et al. 1982
316,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilo bianor,,520,,,N,Y,Eguchi et al. 1982
317,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilo bianor,,580,,,N,Y,Eguchi et al. 1982
318,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias erate,,400,,,N,Y,Eguchi et al. 1982
319,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias erate,,520,,,N,Y,Eguchi et al. 1982
320,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias erate,,560,,,N,Y,Eguchi et al. 1982
321,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx aspasia,,380,,,N,Y,Eguchi et al. 1982
322,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx aspasia,,460,,,N,Y,Eguchi et al. 1982
323,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx aspasia,,560,,,N,Y,Eguchi et al. 1982
324,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx aspasia,,600,,,N,Y,Eguchi et al. 1982
325,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris brassicae,,360,,,N,Y,Paul et al. 1986; Steiner et al. 1987
326,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris brassicae,,455,,,N,Y,Paul et al. 1986; Steiner et al. 1987
327,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris brassicae,,560,,,N,Y,Paul et al. 1986; Steiner et al. 1987
328,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris brassicae,,620,,,N,Y,Paul et al. 1986; Steiner et al. 1987
329,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris melete,,400,,,N,Y,Eguchi et al. 1982
330,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris melete,,480,,,N,Y,Eguchi et al. 1982
331,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris melete,,540,,,N,Y,Eguchi et al. 1982
332,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris melete,,600,,,N,Y,Eguchi et al. 1982
333,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris rapae,,360,,,N,Y,Wakakuwa et al. 2010
334,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris rapae,,420,,,N,Y,Wakakuwa et al. 2010
335,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris rapae,,450,,,N,Y,Wakakuwa et al. 2010
336,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris rapae,,563,,,N,Y,Wakakuwa et al. 2010
337,Arthropoda,Insecta,Lepidoptera,Pyralidae,Amyelois transitella,,350,,,N,Y,Eguchi et al. 1982; Bernard et al. 1984
338,Arthropoda,Insecta,Lepidoptera,Pyralidae,Amyelois transitella,,430,,,N,Y,Eguchi et al. 1982; Bernard et al. 1984
339,Arthropoda,Insecta,Lepidoptera,Pyralidae,Amyelois transitella,,530,,,N,Y,Eguchi et al. 1982; Bernard et al. 1984
340,Arthropoda,Insecta,Lepidoptera,Pyralidae,Galleria mellonella,,363,,,N,Y,Goldman et al. 1975
341,Arthropoda,Insecta,Lepidoptera,Pyralidae,Galleria mellonella,,510,,,N,Y,Goldman et al. 1975
342,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias artemis aliena,,380,,,Y,N,Eguchi et al. 1982
343,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias artemis aliena,,460,,,Y,N,Eguchi et al. 1982
344,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias artemis aliena,,540,,,Y,N,Eguchi et al. 1982
345,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias artemis aliena,,580,,,Y,N,Eguchi et al. 1982
346,Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea polyphemus,,360,,,Y,N,Langer et al. 1986
347,Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea polyphemus,,450,,,Y,N,Langer et al. 1986
348,Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea polyphemus,,525,,,Y,N,Langer et al. 1986
349,Arthropoda,Insecta,Lepidoptera,Saturniidae,Samia cynthia ricini,,380,,,Y,N,Eguchi et al. 1982
350,Arthropoda,Insecta,Lepidoptera,Saturniidae,Samia cynthia ricini,,400,,,Y,N,Eguchi et al. 1982
351,Arthropoda,Insecta,Lepidoptera,Saturniidae,Samia cynthia ricini,,480,,,Y,N,Eguchi et al. 1982
352,Arthropoda,Insecta,Lepidoptera,Saturniidae,Samia cynthia ricini,,520,,,Y,N,Eguchi et al. 1982
353,Arthropoda,Insecta,Lepidoptera,Saturniidae,Samia cynthia ricini,,540,,,Y,N,Eguchi et al. 1982
354,Arthropoda,Insecta,Lepidoptera,Sphingidae,Ampelophaga rubiginosa,,460,,,Y,N,Eguchi et al. 1982
355,Arthropoda,Insecta,Lepidoptera,Sphingidae,Ampelophaga rubiginosa,,540,,,Y,N,Eguchi et al. 1982
356,Arthropoda,Insecta,Lepidoptera,Sphingidae,Ampelophaga rubiginosa,,580,,,Y,N,Eguchi et al. 1982
357,Arthropoda,Insecta,Lepidoptera,Sphingidae,Callambulyx tatarinovii,,380,,,Y,N,Eguchi et al. 1982
358,Arthropoda,Insecta,Lepidoptera,Sphingidae,Callambulyx tatarinovii,,460,,,Y,N,Eguchi et al. 1982
359,Arthropoda,Insecta,Lepidoptera,Sphingidae,Callambulyx tatarinovii,,540,,,Y,N,Eguchi et al. 1982
360,Arthropoda,Insecta,Lepidoptera,Sphingidae,Callambulyx tatarinovii,,580,,,Y,N,Eguchi et al. 1982
361,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deilephila elpenor,,345,,,Y,N,Hamdorf et al. 1971; Hoglund et al. 1973; Schwemer & Paulsen 1973; Schlecht 1979
362,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deilephila elpenor,,440,,,Y,N,Hamdorf et al. 1971; Hoglund et al. 1973; Schwemer & Paulsen 1973; Schlecht 1979
363,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deilephila elpenor,,520,,,Y,N,Hamdorf et al. 1971; Hoglund et al. 1973; Schwemer & Paulsen 1973; Schlecht 1979
364,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossum stellatarum,,348,,,N,Y,Hasselmann 1962
365,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossum stellatarum,,430,,,N,Y,Hasselmann 1962
366,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossum stellatarum,,500,,,N,Y,Hasselmann 1962
367,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca sexta,,345,,,Y,N,White et al. 1983
368,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca sexta,,440,,,Y,N,White et al. 1983
369,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca sexta,,525,,,Y,N,White et al. 1983
370,Arthropoda,Insecta,Lepidoptera,Sphingidae,Marumba sperchius,,460,,,Y,Y,Eguchi et al. 1982
371,Arthropoda,Insecta,Lepidoptera,Sphingidae,Marumba sperchius,,540,,,Y,Y,Eguchi et al. 1982
372,Arthropoda,Insecta,Lepidoptera,Sphingidae,Marumba sperchius,,600,,,Y,Y,Eguchi et al. 1982
373,Arthropoda,Insecta,Neuroptera,Ascalaphidae,Libelloides macaronius,,350,,,N,Y,Gogala 1967; Paul et al. 1986
374,Arthropoda,Insecta,Neuroptera,Ascalaphidae,Libelloides macaronius,,530,,,N,Y,Gogala 1967; Paul et al. 1986
375,Arthropoda,Insecta,Odonata,Aeshnidae,Aeschna cyanea,,356,,,N,Y,Atrum & Kolb 1968
376,Arthropoda,Insecta,Odonata,Aeshnidae,Aeschna cyanea,,420,,,N,Y,Atrum & Kolb 1968
377,Arthropoda,Insecta,Odonata,Aeshnidae,Aeschna cyanea,,519,,,N,Y,Atrum & Kolb 1968
378,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna tuberculifera,,358,,,N,Y,Chappell & DeVoe 1975
379,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna tuberculifera,,501,,,N,Y,Chappell & DeVoe 1975
380,Arthropoda,Insecta,Odonata,Aeshnidae,Anax junius,,354,,,N,Y,Chappell & DeVoe 1975
381,Arthropoda,Insecta,Odonata,Aeshnidae,Anax junius,,442,,,N,Y,Chappell & DeVoe 1975
382,Arthropoda,Insecta,Odonata,Aeshnidae,Anax junius,,503,,,N,Y,Chappell & DeVoe 1975
383,Arthropoda,Insecta,Odonata,Aeshnidae,Libellula pulchella,,360,,,N,Y,Chappell & DeVoe 1975
384,Arthropoda,Insecta,Odonata,Aeshnidae,Libellula pulchella,,500,,,N,Y,Chappell & DeVoe 1975
385,Arthropoda,Insecta,Odonata,Corduliidae,Hemicordulia tau,,330,,,N,Y,Yang & Osorio 1991
386,Arthropoda,Insecta,Odonata,Corduliidae,Hemicordulia tau,,410,,,N,Y,Yang & Osorio 1991
387,Arthropoda,Insecta,Odonata,Corduliidae,Hemicordulia tau,,460,,,N,Y,Yang & Osorio 1991
388,Arthropoda,Insecta,Odonata,Corduliidae,Hemicordulia tau,,525,,,N,Y,Yang & Osorio 1991
389,Arthropoda,Insecta,Odonata,Corduliidae,Hemicordulia tau,,630,,,N,Y,Yang & Osorio 1991
390,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum rubicundulum,,340,,,N,Y,Meinertzhagen et al. 1983
391,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum rubicundulum,,410,,,N,Y,Meinertzhagen et al. 1983
392,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum rubicundulum,,490,,,N,Y,Meinertzhagen et al. 1983
393,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum rubicundulum,,540,,,N,Y,Meinertzhagen et al. 1983
394,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum rubicundulum,,620,,,N,Y,Meinertzhagen et al. 1983
395,Arthropoda,Insecta,Orthoptera,Acrididae,Locusta migratoria,,360,,,Y,Y,Vishnevskaya & Shura-Bura 1990
396,Arthropoda,Insecta,Orthoptera,Acrididae,Locusta migratoria,,430,,,Y,Y,Vishnevskaya & Shura-Bura 1990
397,Arthropoda,Insecta,Orthoptera,Acrididae,Locusta migratoria,,530,,,Y,Y,Vishnevskaya & Shura-Bura 1990
398,Arthropoda,Insecta,Orthoptera,Blattidae,Gryllus bimaculatus adult,,332,,,Y,N,Zufall et al. 1989
399,Arthropoda,Insecta,Orthoptera,Blattidae,Gryllus bimaculatus adult,,445,,,Y,N,Zufall et al. 1989
400,Arthropoda,Insecta,Orthoptera,Blattidae,Gryllus bimaculatus adult,,515,,,Y,N,Zufall et al. 1989
401,Arthropoda,Insecta,Orthoptera,Blattidae,Gryllus campestris,,340,,,Y,N,Zufall et al. 1989
402,Arthropoda,Insecta,Orthoptera,Blattidae,Gryllus campestris,,439,,,Y,N,Zufall et al. 1989
403,Arthropoda,Insecta,Orthoptera,Blattidae,Gryllus campestris,,520,,,Y,N,Zufall et al. 1989
404,Arthropoda,Insecta,Orthoptera,Romaleidae,Romalea microptera,,360,,,Y,Y,Bruckler & Williams 1981
405,Arthropoda,Insecta,Orthoptera,Romaleidae,Romalea microptera,,510,,,Y,Y,Bruckler & Williams 1981
406,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia exotica,,340,,,Y,N,Hariyama et al. 1993
407,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia exotica,,470,,,Y,N,Hariyama et al. 1993
408,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia exotica,,520,,,Y,N,Hariyama et al. 1993
409,Chordata,Amphibia,Anura,Bufonidae,Bufo bufo,Rod,502,,,N,Y,Fyhrquist et al. 1998; Ala-Laurila et al. 2002
410,Chordata,Amphibia,Anura,Bufonidae,Rhinella [=Bufo] marinus,Rod,433,,,Y,Y,Hárosi 1975; Matthews 1983; Ala-Laurila et al. 2002
411,Chordata,Amphibia,Anura,Bufonidae,Rhinella [=Bufo] marinus,Rod,504,,,Y,Y,Hárosi 1975; Ala-Laurila et al. 2002
412,Chordata,Amphibia,Anura,Pipidae,Xenopus laevis,Rod,443,,,Y,Y,Witkovsky et al. 1981; Darden et al. 2003
413,Chordata,Amphibia,Anura,Pipidae,Xenopus laevis,Cone,425,,,Y,Y,Witkovsky et al. 1981; Darden et al. 2003
414,Chordata,Amphibia,Anura,Pipidae,Xenopus laevis,Rod,523,,,Y,Y,Witkovsky et al. 1981
415,Chordata,Amphibia,Anura,Pipidae,Xenopus laevis,Cone,611,,,Y,Y,Witkovsky et al. 1981
416,Chordata,Amphibia,Anura,Ranidae,Rana catesbeiana,Rod,430,Rod,,Y,Y,Makino-Tasaka & Suzuki 1984
417,Chordata,Amphibia,Anura,Ranidae,Rana catesbeiana,Cone,432,,,Y,Y,Gordon and Hood
418,Chordata,Amphibia,Anura,Ranidae,Rana catesbeiana,Cone,502,,,Y,Y,Gordon and Hood
419,Chordata,Amphibia,Anura,Ranidae,Rana catesbeiana,Rod,502,,,Y,Y,Gordon and Hood
420,Chordata,Amphibia,Anura,Ranidae,Rana catesbeiana,Rod,523,,,Y,Y,"Wald 1946; Crescitelli 1958, 1972; Donner et al. 1990"
421,Chordata,Amphibia,Anura,Ranidae,Rana catesbeiana,Cone,580,,,Y,Y,Gordon and Hood
422,Chordata,Amphibia,Anura,Ranidae,Rana catesbeiana larvae,Rod,516,,,Y,Y,"Wald 1946; Crescitelli 1958, 1972; Donner et al. 1990"
423,Chordata,Amphibia,Anura,Ranidae,Rana cracrivora,Rod,433,,,Y,Y,Donner and Reuter 1962; Dartnall 1967
424,Chordata,Amphibia,Anura,Ranidae,Rana pipiens,Rod,432,Rod,,Y,Y,Leibman & Entine 1968
425,Chordata,Amphibia,Anura,Ranidae,Rana pipiens,Rod,502,,,Y,Y,Crescitelli 1958; Liebman & Entine 1968
426,Chordata,Amphibia,Anura,Ranidae,Rana pipiens,Cone,575,,,Y,Y,Liebman & Entine 1968
427,Chordata,Amphibia,Anura,Ranidae,Rana temporaria,Cone,431,,,Y,Y,Koskelainen et al. 1994
428,Chordata,Amphibia,Anura,Ranidae,Rana temporaria,Rod,501,,,Y,Y,Koskelainen et al. 1994
429,Chordata,Amphibia,Anura,Ranidae,Rana temporaria,Cone,562,,,Y,Y,Koskelainen et al. 1994
430,Chordata,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes seraphini,Rod,487,,,Y,N,Mohun et al. 2010
431,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis cf. kohtaoensis,Rod,493,,,Y,N,Mohun et al. 2010
432,Chordata,Amphibia,Gymnophiona,Rhinatrematidae,Rhinatrema bivittatum,Rod,488,,,Y,N,Mohun et al. 2010
433,Chordata,Amphibia,Gymnophiona,Typhlonectidae,Typhlonectes natans,Rod,489,,,Y,N,Mohun et al. 2010
434,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum adult,Cone,361,,,Y,Y,Isayama et al. 2014
435,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum adult,Rod,429,Rod,,Y,Y,Isayama et al. 2014
436,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum adult,Rod,505,,,Y,Y,Isayama et al. 2014
437,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum adult,Cone,568,,,Y,Y,Isayama et al. 2014
438,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum adult,Cone,576,,,Y,Y,Isayama et al. 2014
439,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum aquatic,Cone,361,,,Y,Y,Isayama et al. 2014
440,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum aquatic,Rod,431,,,Y,Y,Isayama et al. 2014
441,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum aquatic,Cone,434,,,Y,Y,Isayama et al. 2014
442,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum aquatic,Rod,516,,,Y,Y,Isayama et al. 2014
443,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum aquatic,Cone,584,,,Y,Y,Isayama et al. 2014
444,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum aquatic,Cone,586,,,Y,Y,Isayama et al. 2014
445,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum hatchling,Cone,361,,,Y,Y,Isayama et al. 2014
446,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum hatchling,Rod,428,,,Y,Y,Isayama et al. 2014
447,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum hatchling,Cone,429,,,Y,Y,Isayama et al. 2014
448,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum hatchling,Rod,512,,,Y,Y,Isayama et al. 2014
449,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum hatchling,Cone,563,,,Y,Y,Isayama et al. 2014
450,Chordata,Amphibia,Urodela,Proteidae,Necturus maculosus,Rod,523,,,Y,Y,Hárosi 1975
451,Chordata,Amphibia,Urodela,Proteidae,Necturus maculosus,Rod,525,,,Y,Y,Crescitelli 1958; Brown et al. 1963; Liebman 1972; Hárosi 1975
452,Chordata,Amphibia,Gymnophiona,Typhlonectidae,Typhlonectes natans,Rod,489,,,Y,N,Mohun et al. 2010
