qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
XP_056461797.1,visual_opsin_S311,82.948,346,58,1,3,347,1,346,0.0,598.0
XP_056461796.1,visual_opsin_S311,82.081,346,62,0,1,346,1,346,0.0,596.0
XP_056461340.1,visual_opsin_S206,79.83,352,70,1,1,352,1,351,0.0,597.0
XP_056461146.1,visual_opsin_S311,83.188,345,58,0,9,353,2,346,0.0,601.0
XP_056459246.1,XP_040523482_opsin3_G_gallus,33.651,315,196,7,12,325,29,331,6.3e-45,157.0
XP_056458648.1,visual_opsin_Xenos_vesparum_LW1_partial,32.283,254,166,3,10,259,10,261,1.57e-33,125.0
XP_056444350.1,XP_006638720_opsin_3_Lepisosteus_oculatus,43.007,286,155,2,26,305,16,299,2.65e-81,251.0
XP_056443249.1,XP_039927874_Hirundo_rustica_VA,29.552,335,212,9,1,324,1,322,2.29e-43,151.0
XP_056448229.1,visual_opsin_S331,85.47,351,48,1,1,351,1,348,0.0,637.0
XP_056446059.1,visual_opsin_S287,33.597,253,159,2,53,305,58,301,1.3100000000000001e-43,153.0
XP_056449452.1,XP_010746869_Larimichthys_crocea_parapinopsin_a,31.419,296,195,5,8,302,15,303,2.59e-41,145.0
AJD38793.1,visual_opsin_S300,80.912,351,67,0,1,351,1,351,0.0,608.0
XP_005175090.2,visual_opsin_Musca_domestica_SW_Rh5,99.689,322,1,0,36,357,1,322,0.0,669.0
XP_019891233.2,visual_opsin_S166,76.584,363,85,0,9,371,11,373,0.0,597.0
XP_058986187.1,visual_opsin_Musca_domestica_Rh2,100.0,323,0,0,26,348,1,323,0.0,667.0
XP_005190072.1,visual_opsin_Musca_domestica_UV_Rh3,100.0,324,0,0,37,360,1,324,0.0,679.0
XP_005186097.1,visual_opsin_Musca_domestica_Rh6,100.0,323,0,0,24,346,1,323,0.0,666.0
XP_005182995.1,visual_opsin_S166,70.652,368,106,1,56,421,1,368,0.0,557.0
XP_005182983.1,visual_opsin_Musca_domestica_Rh1,100.0,323,0,0,25,347,1,323,0.0,665.0
AFP62392.1,visual_opsin_S291,27.108,332,198,13,51,370,56,355,2.85e-20,87.8
AFP60345.1,visual_opsin_Musca_domestica_Rh1,99.69,323,1,0,25,347,1,323,0.0,665.0
ACC77721.1,visual_opsin_S145,87.696,382,47,0,1,382,23,404,0.0,690.0
ABI97876.1,visual_opsin_S272,79.003,381,79,1,1,380,1,381,0.0,650.0
XP_060148294.1,visual_opsin_S72,99.725,364,1,0,1,364,1,364,0.0,751.0
XP_030709585.2,visual_opsin_S180,89.971,349,28,3,1,343,1,348,0.0,634.0
XP_030696821.1,visual_opsin_S100,100.0,348,0,0,1,348,1,348,0.0,717.0
AAP13015.1,visual_opsin_S72,99.451,364,2,0,1,364,1,364,0.0,750.0
AAC12762.1,visual_opsin_S101,100.0,348,0,0,1,348,1,348,0.0,718.0
NP_001009871.1,visual_opsin_S137,100.0,364,0,0,1,364,1,364,0.0,750.0
NP_001009242.1,visual_opsin_S357,99.138,348,3,0,1,348,1,348,0.0,714.0
XP_019678889.1,visual_opsin_S137,100.0,305,0,0,1,305,60,364,0.0,622.0
XP_019678887.1,visual_opsin_S137,100.0,192,0,0,1,192,1,192,6.66e-139,395.0
XP_003983068.1,visual_opsin_S180,91.404,349,30,0,1,349,1,349,0.0,670.0
XP_035278922.1,NP_001104634_opsin3_D_rerio,30.124,322,210,10,27,343,21,332,3.46e-36,132.0
XP_035278495.1,XP_005996890_opsin_3_Latimeria_chalumnae,29.565,345,221,6,1,343,35,359,1.3399999999999998e-42,148.0
XP_035278493.1,XP_051503901_Myxocyprinus_asiaticus_VA_a,27.415,383,250,9,2,372,15,381,9.64e-44,152.0
XP_035268773.1,XP_034775490_Acipenser_ruthenus_parapinopsin,29.53,298,205,2,4,301,11,303,1e-43,152.0
XP_035262346.1,XP_028585690_Podarcis_muralis_VA,28.571,329,220,7,35,359,41,358,1.54e-42,150.0
XP_035248604.1,XP_006638720_opsin_3_Lepisosteus_oculatus,41.554,296,155,3,28,306,5,299,2.54e-80,247.0
XP_035239401.1,visual_opsin_S51,96.045,354,12,1,1,352,1,354,0.0,704.0
XP_035237351.1,visual_opsin_S78,84.0,350,55,1,1,350,1,349,0.0,620.0
XP_035237343.1,visual_opsin_S219,87.755,343,39,1,1,340,1,343,0.0,619.0
XP_035237087.1,visual_opsin_Trichogramma_pretiosum_LW2,27.055,292,201,3,19,301,27,315,1.9699999999999997e-40,142.0
ACT34385.1,visual_opsin_S122,71.268,355,98,2,1,355,1,351,0.0,543.0
ACT34384.1,visual_opsin_S219,88.047,343,38,1,1,340,1,343,0.0,620.0
2206482A,visual_opsin_S51,94.752,343,18,0,1,343,1,343,0.0,684.0
XP_004548807.3,visual_opsin_S210,99.716,352,1,0,1,352,1,352,0.0,721.0
XP_004571970.3,visual_opsin_S301,96.866,351,11,0,1,351,1,351,0.0,708.0
XP_004571972.3,visual_opsin_S305,92.997,357,25,0,1,357,1,357,0.0,704.0
XP_076734495.1,visual_opsin_Scaffol_7_Sirex,29.932,294,194,3,21,305,27,317,5.379999999999999e-41,144.0
XP_076734177.1,XP_034775490_Acipenser_ruthenus_parapinopsin,31.25,272,182,2,25,296,37,303,3.62e-42,147.0
XP_004546142.2,visual_opsin_S32,98.023,354,7,0,1,354,1,354,0.0,718.0
XP_004551342.2,XP_040523482_opsin3_G_gallus,38.816,304,168,4,26,318,21,317,1.3599999999999999e-74,233.0
XP_076730670.1,XP_040523482_opsin3_G_gallus,33.688,282,181,2,20,299,39,316,1.45e-44,154.0
XP_076730095.1,NP_001104634_opsin3_D_rerio,29.132,357,221,11,23,370,21,354,1.8e-39,141.0
XP_076730094.1,NP_001104634_opsin3_D_rerio,28.863,343,212,11,39,372,35,354,3.86e-37,135.0
XP_014267728.1,visual_opsin_Cloeon_dipterum_LWS3,30.769,286,187,3,22,300,28,309,1.16e-43,152.0
XP_004538628.2,visual_opsin_Baetis_sp_AD2013_LW1,38.658,313,189,2,3,315,10,319,1.3800000000000001e-77,239.0
XP_012773135.1,XP_040523482_opsin3_G_gallus,40.728,302,170,2,30,325,19,317,2.82e-77,240.0
XP_004551907.1,XP_040523482_opsin3_G_gallus,41.64,317,172,4,12,320,2,313,3.3e-81,251.0
XP_004548809.1,visual_opsin_S211,99.716,352,1,0,1,352,1,352,0.0,721.0
XP_004548806.1,visual_opsin_S212,100.0,352,0,0,1,352,1,352,0.0,722.0
XP_004546447.1,XP_010746869_Larimichthys_crocea_parapinopsin_a,30.872,298,193,6,8,301,15,303,1.74e-43,151.0
XP_004538122.1,visual_opsin_S264,21.552,232,170,5,1,229,49,271,1.63e-08,51.6
NP_001297003.1,visual_opsin_S214,100.0,335,0,0,1,335,1,335,0.0,691.0
NP_001297001.1,visual_opsin_S213,99.715,351,1,0,1,351,1,351,0.0,723.0
ADJ54173.1,visual_opsin_S214,98.209,335,6,0,1,335,1,335,0.0,683.0
AAY26029.1,visual_opsin_S32,98.305,354,6,0,1,354,1,354,0.0,721.0
ADI72254.1,visual_opsin_S211,98.864,352,4,0,1,352,1,352,0.0,713.0
ADI72253.1,visual_opsin_S211,98.864,352,4,0,1,352,1,352,0.0,713.0
ADI72141.1,visual_opsin_S301,97.151,351,10,0,1,351,1,351,0.0,709.0
ADW80533.1,visual_opsin_S211,100.0,352,0,0,1,352,1,352,0.0,722.0
ADW80522.1,visual_opsin_S305,93.838,357,22,0,1,357,1,357,0.0,709.0
ADW80520.1,visual_opsin_S301,96.591,352,11,1,1,352,1,351,0.0,704.0
XP_045760260.1,visual_opsin_S345,99.138,348,3,0,1,348,1,348,0.0,709.0
XP_045728166.1,visual_opsin_S138,92.582,364,27,0,1,364,1,364,0.0,696.0
AAP13021.1,visual_opsin_S345,100.0,348,0,0,1,348,1,348,0.0,709.0
ACC77722.1,visual_opsin_S145,88.482,382,44,0,1,382,23,404,0.0,693.0
ABI97877.1,visual_opsin_S270,82.804,378,63,2,5,380,4,381,0.0,659.0
XP_050928422.1,XP_040523482_opsin3_G_gallus,40.07,287,163,2,41,321,34,317,5.39e-74,232.0
XP_018553413.2,visual_opsin_Epeorus_sp_EP006_LW1b,29.508,305,184,9,3,287,11,304,2.23e-39,139.0
XP_018545448.2,visual_opsin_S296,89.053,338,37,0,20,357,1,338,0.0,630.0
XP_018523734.1,visual_opsin_S287,32.404,287,183,3,53,339,58,333,2.03e-43,153.0
XP_018557970.1,XP_040523482_opsin3_G_gallus,39.333,300,164,4,26,314,21,313,6.45e-74,232.0
XP_018553461.1,visual_opsin_S162,88.983,354,39,0,1,354,1,354,0.0,644.0
XP_018553448.1,XP_040269222_Bufo_bufo_parietopsin,29.091,330,202,7,19,333,31,343,1.9000000000000002e-43,149.0
XP_018550501.1,NP_001104634_opsin3_D_rerio,30.659,349,222,11,46,387,21,356,1.17e-39,142.0
XP_018542041.1,visual_opsin_S151,94.886,352,18,0,1,352,1,352,0.0,658.0
XP_018541506.1,visual_opsin_S309,93.586,343,22,0,1,343,1,343,0.0,669.0
XP_018541321.1,visual_opsin_S302,87.798,336,41,0,3,338,10,345,0.0,614.0
XP_018541320.1,visual_opsin_S302,88.69,336,38,0,3,338,10,345,0.0,630.0
XP_018540731.1,visual_opsin_Megachile_rotundata_LW1,25.322,233,150,8,14,237,28,245,4.01e-09,53.5
XP_018535504.1,visual_opsin_S200,88.102,353,40,1,1,351,1,353,0.0,644.0
XP_018535500.1,visual_opsin_S206,82.906,351,60,0,1,351,1,351,0.0,619.0
XP_018535499.1,visual_opsin_S201,92.33,352,27,0,1,352,1,352,0.0,674.0
XP_018535498.1,visual_opsin_S305,94.398,357,20,0,1,357,1,357,0.0,708.0
XP_018535497.1,visual_opsin_S305,91.011,356,32,0,1,356,1,356,0.0,692.0
XP_018534825.1,XP_040523482_opsin3_G_gallus,41.25,320,177,3,14,327,3,317,2.21e-81,252.0
XP_018532030.1,XP_032828234_Petromyzon_marinus_parapinopsin-like,30.357,336,215,6,20,354,37,354,3.1099999999999998e-46,160.0
XP_018530288.1,XP_019737420_Hippocampus_comes_VA_a,31.322,348,210,10,43,383,40,365,5.8e-46,159.0
XP_018530066.1,XP_010746869_Larimichthys_crocea_parapinopsin_a,29.53,298,197,6,11,304,15,303,4.86e-44,152.0
ABY84501.1,visual_opsin_S183,100.0,379,0,0,1,379,1,379,0.0,790.0
QGW08860.1,visual_opsin_S251,83.014,365,62,0,1,365,1,365,0.0,632.0
QGW08849.1,visual_opsin_S231,79.155,355,73,1,1,354,1,355,0.0,581.0
QGW08839.1,visual_opsin_S321,89.548,354,37,0,1,354,1,354,0.0,664.0
XP_040594855.1,visual_opsin_S357,97.097,310,9,0,1,310,39,348,0.0,626.0
XP_040584564.1,visual_opsin_S96,94.22,346,20,0,1,346,1,346,0.0,674.0
XP_021080461.1,visual_opsin_S357,97.049,305,9,0,1,305,44,348,0.0,616.0
XP_005086977.1,visual_opsin_S135,93.872,359,22,0,1,359,1,359,0.0,697.0
XP_005066157.1,visual_opsin_S357,96.839,348,11,0,1,348,1,348,0.0,703.0
XP_061718855.1,visual_opsin_S80,25.796,314,207,10,36,337,33,332,7.04e-21,89.7
XP_061707777.1,visual_opsin_Orthetrum_albistylum_LWA1,24.43,307,207,7,47,344,30,320,4.58e-07,47.4
AVR48193.1,visual_opsin_S54,91.243,354,29,1,1,352,1,354,0.0,665.0
XP_060619190.2,visual_opsin_S123,95.041,363,18,0,3,365,1,363,0.0,717.0
XP_060619192.2,visual_opsin_S127,95.664,369,16,0,1,369,1,369,0.0,736.0
XP_060632340.1,visual_opsin_S88,97.406,347,9,0,1,347,1,347,0.0,703.0
XP_060629110.1,visual_opsin_S228,96.901,355,11,0,1,355,1,355,0.0,718.0
XP_060622239.1,visual_opsin_S68,98.011,352,7,0,1,352,1,352,0.0,719.0
ADJ54167.1,visual_opsin_S214,97.91,335,7,0,1,335,1,335,0.0,676.0
ADJ54166.1,visual_opsin_S214,97.313,335,9,0,1,335,1,335,0.0,676.0
ADJ54165.1,visual_opsin_S214,97.612,335,8,0,1,335,1,335,0.0,679.0
ADI72248.1,visual_opsin_S211,99.716,352,1,0,1,352,1,352,0.0,721.0
XP_046197189.1,visual_opsin_S302,77.654,358,67,1,3,347,10,367,0.0,577.0
XP_046197184.1,visual_opsin_S302,78.492,358,64,1,3,347,10,367,0.0,584.0
XP_046197169.1,visual_opsin_S78,79.656,349,67,2,1,345,1,349,0.0,572.0
XP_046171557.1,visual_opsin_Xenos_vesparum_LW1_partial,34.483,232,147,2,8,236,37,266,2.55e-37,135.0
XP_046169133.1,visual_opsin_S308,85.994,357,50,0,1,357,1,357,0.0,657.0
XP_046168702.1,XP_039927874_Hirundo_rustica_VA,29.073,313,206,8,6,314,55,355,1.77e-44,154.0
XP_046168701.1,XP_042357851_Plectropomus_leopardus_VA_a,28.721,383,188,14,32,368,19,362,1.01e-32,123.0
XP_046168700.1,XP_033469549_Epinephelus_lanceolatus_VA_a,31.378,392,230,15,32,411,19,383,2.9e-45,158.0
XP_046164344.1,XP_018424575_Nanorana_parkeri_VA,30.448,335,212,9,28,357,39,357,2.1999999999999997e-42,149.0
XP_046155142.1,XP_047242728_Girardinichthys_multiradiatus_parietopsin,32.119,302,190,6,2,296,13,306,8.100000000000001e-43,149.0
XP_046155141.1,NP_001104634_opsin3_D_rerio,30.925,346,218,9,26,358,35,372,2.87e-42,148.0
XP_046152762.1,visual_opsin_S147,85.345,348,51,0,6,353,9,356,0.0,635.0
XP_046149074.1,NP_001104634_opsin3_D_rerio,29.968,317,207,7,35,350,30,332,2.47e-37,135.0
XP_046149050.1,XP_006638720_opsin_3_Lepisosteus_oculatus,39.394,297,170,3,21,310,5,298,1.97e-75,234.0
XP_046221086.1,visual_opsin_S53,88.136,354,42,0,1,354,1,354,0.0,644.0
XP_046220177.1,visual_opsin_Apis_dorsata_LW2,29.492,295,195,4,24,309,25,315,8.92e-39,138.0
AAP58345.1,visual_opsin_S300,74.644,351,87,2,4,354,1,349,0.0,556.0
AAP58344.1,visual_opsin_S296,81.682,333,61,0,1,333,1,333,0.0,580.0
AAP58343.1,visual_opsin_S79,77.011,348,76,1,3,346,2,349,0.0,551.0
AAP58341.1,visual_opsin_S308,85.994,357,50,0,1,357,1,357,0.0,657.0
CCO61975.1,visual_opsin_Anopheles_quadrianulatum_UV,50.0,326,158,3,29,352,1,323,1.98e-117,340.0
CCO61974.1,visual_opsin_S291,75.275,364,88,1,26,389,1,362,0.0,595.0
CCO61973.1,visual_opsin_S318,67.925,371,117,2,6,376,1,369,0.0,526.0
CCP46950.1,visual_opsin_S287,42.069,290,165,2,49,337,9,296,6.639999999999999e-69,219.0
XP_021702394.1,visual_opsin_S290,52.174,299,136,2,6,297,142,440,2.59e-110,325.0
XP_021698798.1,visual_opsin_Aedes_aegypti_GPROP8_UV,100.0,324,0,0,31,354,1,324,0.0,674.0
XP_001652725.2,visual_opsin_Aedes_aegypti_GPROP7_LW,100.0,322,0,0,23,344,1,322,0.0,667.0
XP_023797951.1,visual_opsin_S120,99.155,355,3,0,1,355,1,355,0.0,731.0
XP_023790816.1,visual_opsin_S115,99.715,351,1,0,1,351,1,351,0.0,723.0
CAD23111.1,visual_opsin_S83,100.0,351,0,0,1,351,1,351,0.0,723.0
XP_032746333.1,visual_opsin_S136,99.443,359,2,0,1,359,1,359,0.0,738.0
XP_032763313.1,visual_opsin_S357,97.126,348,10,0,1,348,1,348,0.0,700.0
XP_032761131.1,visual_opsin_S96,98.266,346,6,0,1,346,1,346,0.0,701.0
XP_014748884.1,visual_opsin_S125,94.751,362,19,0,1,362,1,362,0.0,695.0
XP_014748882.1,visual_opsin_S129,97.534,365,9,0,1,365,1,365,0.0,743.0
XP_014746281.1,visual_opsin_S91,96.221,344,13,0,4,347,3,346,0.0,693.0
XP_014746280.1,visual_opsin_S91,96.243,346,13,0,1,346,1,346,0.0,698.0
XP_014728099.1,visual_opsin_S120,99.718,355,1,0,1,355,1,355,0.0,734.0
XP_014729568.1,visual_opsin_S115,99.715,351,1,0,1,351,1,351,0.0,723.0
XP_074706113.1,visual_opsin_S121,95.211,355,17,0,1,355,1,355,0.0,691.0
XP_074692878.1,visual_opsin_S353,99.145,351,3,0,1,351,1,351,0.0,721.0
ABP88810.1,visual_opsin_S302,75.562,356,78,1,3,349,10,365,0.0,575.0
ABP88809.1,visual_opsin_S175,100.0,347,0,0,1,347,1,347,0.0,713.0
ABP88808.1,visual_opsin_S174,100.0,354,0,0,1,354,1,354,0.0,728.0
BAO03865.1,visual_opsin_Nephotettix_cincticeps_SW,100.0,324,0,0,29,352,1,324,0.0,673.0
BAO03864.1,visual_opsin_Nephotettix_cincticeps_LW,100.0,323,0,0,28,350,1,323,0.0,667.0
XP_045137882.1,visual_opsin_S242,44.772,373,198,5,6,376,7,373,1.54e-109,322.0
XP_045137354.1,visual_opsin_S107,44.044,361,199,3,16,375,18,376,8.080000000000001e-110,323.0
XP_045137353.1,visual_opsin_Xanthostigma_xanthostigma_LW2,49.221,321,161,2,32,352,2,320,6.84e-108,316.0
XP_045137352.1,visual_opsin_S242,44.986,369,196,4,7,375,7,368,2.31e-113,332.0
XP_045137350.1,visual_opsin_Xanthostigma_xanthostigma_LW2,48.598,321,163,2,32,352,2,320,5.85e-109,318.0
XP_045137349.1,visual_opsin_Xanthostigma_xanthostigma_LW2,48.91,321,162,2,32,352,2,320,2.32e-106,312.0
XP_045136029.1,visual_opsin_S291,44.789,355,192,3,20,371,9,362,2.4300000000000003e-110,323.0
XP_045136024.1,visual_opsin_Nilaparvata_lugens_UV2,48.923,325,162,4,33,356,2,323,1.5599999999999999e-108,317.0
XP_045136020.1,visual_opsin_S291,43.28,372,200,3,1,371,1,362,6.560000000000001e-109,320.0
XP_045120280.1,visual_opsin_Polypedilum_vanderplanki_UV,61.35,326,123,2,42,367,1,323,2.84e-148,419.0
XP_045110164.1,visual_opsin_S286,55.182,357,153,3,16,372,2,351,8.06e-151,427.0
XP_045112673.1,visual_opsin_Asiagomphus_melaenops_UV,37.037,324,192,3,19,331,1,323,2.9099999999999997e-67,213.0
XP_045111199.1,visual_opsin_S291,47.253,364,186,3,15,378,5,362,2.28e-126,364.0
XP_012612642.1,visual_opsin_S176,94.231,364,21,0,16,379,1,364,0.0,704.0
XP_012644610.1,visual_opsin_S238,89.714,350,35,1,1,349,1,350,0.0,652.0
XP_012640760.1,visual_opsin_S177,98.851,348,4,0,1,348,1,348,0.0,711.0
AGI97271.1,visual_opsin_S238,90.0,350,34,1,1,349,1,350,0.0,655.0
AGI97267.1,visual_opsin_S238,89.714,350,35,1,1,349,1,350,0.0,653.0
AGI97266.1,visual_opsin_S238,89.714,350,35,1,1,349,1,350,0.0,653.0
NP_001138556.1,visual_opsin_S99,94.22,346,20,0,1,346,1,346,0.0,679.0
NP_001138553.1,visual_opsin_S317,93.188,367,21,1,1,367,1,363,0.0,715.0
XP_056660668.1,visual_opsin_S356,93.557,357,14,1,1,357,1,348,0.0,689.0
XP_001366225.1,visual_opsin_S356,95.977,348,14,0,1,348,1,348,0.0,696.0
Q25158.1,visual_opsin_Aspisoma_sp_LW,47.664,321,166,2,31,351,2,320,4.06e-110,322.0
Q25157.1,visual_opsin_S242,41.91,377,215,4,1,377,1,373,6.600000000000001e-109,320.0
QGW08861.1,visual_opsin_S251,82.74,365,62,1,1,364,1,365,0.0,630.0
QGW08850.1,visual_opsin_S227,79.718,355,71,1,1,354,1,355,0.0,583.0
QGW08840.1,visual_opsin_S321,90.96,354,32,0,1,354,1,354,0.0,670.0
XP_050348207.1,visual_opsin_S91,23.438,320,225,6,21,332,7,314,1.61e-20,88.2
XP_047041892.1,XP_034551179_Notolabrus_celidotus_parapinopsin_a,26.064,188,120,4,97,270,93,275,3.36e-10,56.6
KAK2096575.1,visual_opsin_S238,91.143,350,30,1,1,349,1,350,0.0,667.0
XP_014020063.2,XP_005996890_opsin_3_Latimeria_chalumnae,37.651,332,188,5,18,333,3,331,4.37e-74,231.0
XP_045556165.1,visual_opsin_S148,86.207,348,48,0,6,353,9,356,0.0,640.0
XP_045552021.1,NP_001104634_opsin3_D_rerio,29.688,320,204,8,22,337,30,332,1.6500000000000001e-37,135.0
XP_013988742.2,visual_opsin_S305,86.207,348,47,1,7,353,10,357,0.0,638.0
XP_013988558.2,visual_opsin_S308,85.994,357,50,0,47,403,1,357,0.0,659.0
XP_045576933.1,XP_043084222_Puntigrus_tetrazona_parietopsin,30.031,323,208,7,35,344,19,336,8.63e-45,154.0
XP_014023318.1,visual_opsin_S212,79.05,358,62,1,3,347,10,367,0.0,584.0
XP_014023316.1,visual_opsin_S224,81.579,342,58,2,3,339,2,343,0.0,556.0
XP_014021930.1,visual_opsin_S307,84.594,357,55,0,1,357,1,357,0.0,647.0
XP_014051053.1,XP_039193334_Crotalus_tigris_VA,29.552,335,220,9,28,357,46,369,1.38e-41,146.0
NP_001117180.1,visual_opsin_S214,82.036,334,60,0,1,334,1,334,0.0,580.0
NP_001117179.1,visual_opsin_S79,76.437,348,78,1,3,346,2,349,0.0,551.0
NP_001117178.1,visual_opsin_S300,74.359,351,88,2,4,354,1,349,0.0,551.0
NP_001117177.1,visual_opsin_S308,85.994,357,50,0,1,357,1,357,0.0,657.0
O13018.1,NP_001117098_Salmo_salar_VA_a,100.0,323,0,0,1,323,1,323,0.0,661.0
UVF22963.1,visual_opsin_S147,86.782,348,46,0,6,353,9,356,0.0,642.0
UVF22960.1,visual_opsin_S305,85.92,348,48,1,7,353,10,357,0.0,637.0
UVF22958.1,visual_opsin_S79,76.724,348,77,1,3,346,2,349,0.0,552.0
UVF22957.1,visual_opsin_S78,79.656,349,67,2,1,345,1,349,0.0,578.0
UVF22955.1,visual_opsin_S300,74.359,351,88,2,4,354,1,349,0.0,552.0
UVF22954.1,visual_opsin_S214,82.335,334,59,0,1,334,1,334,0.0,583.0
UVF22953.1,visual_opsin_S53,88.136,354,42,0,1,354,1,354,0.0,643.0
NP_001265984.1,visual_opsin_Ephemera_danica_LWS3,38.312,308,185,3,4,309,7,311,3.6000000000000006e-73,224.0
NP_001117009.1,visual_opsin_S53,87.853,354,43,0,1,354,1,354,0.0,642.0
NP_001117008.1,visual_opsin_S162,85.757,337,48,0,1,337,1,337,0.0,616.0
XP_044736045.1,visual_opsin_Pseudomallada_prasinus_UV,98.148,324,6,0,28,351,1,324,0.0,667.0
XP_044727952.1,visual_opsin_Pseudomallada_prasinus_LW,99.071,323,3,0,23,345,1,323,0.0,660.0
XP_044733194.1,visual_opsin_S290,48.464,293,137,2,18,309,124,403,9.77e-96,293.0
XP_063062154.1,XP_040523482_opsin3_G_gallus,42.188,320,160,4,20,319,3,317,5.2699999999999995e-82,253.0
XP_063058218.1,NP_001104634_opsin3_D_rerio,37.421,318,186,3,38,349,20,330,1.7e-75,236.0
XP_063056475.1,XP_030634225_Chanos_chanos_parapinopsin_b,30.625,320,192,2,11,330,15,304,5.260000000000001e-43,148.0
XP_063052651.1,visual_opsin_S79,78.635,337,68,3,1,333,13,349,0.0,541.0
XP_063046857.1,XP_040277880_Bufo_bufo_pinopsin,38.416,341,203,5,20,354,2,341,1.03e-75,235.0
XP_063063840.1,XP_039927874_Hirundo_rustica_VA,29.53,298,195,7,35,328,39,325,2.54e-43,151.0
XP_063056615.1,visual_opsin_S78,82.235,349,58,3,9,353,1,349,0.0,589.0
XP_063040193.1,XP_006136685_Pelodiscus_sinensis_VA,31.864,295,178,9,30,318,45,322,6.28e-38,139.0
XP_063078423.1,XP_040523482_opsin3_G_gallus,32.765,293,183,4,17,301,32,318,5.9699999999999996e-46,158.0
XP_063078283.1,XP_026798920_Pangasianodon_hypophthalmus_VA_a,30.07,286,185,7,36,315,45,321,4.16e-41,147.0
XP_063078275.1,NP_001104634_opsin3_D_rerio,33.876,307,179,8,24,326,35,321,1.95e-45,157.0
XP_063076291.1,XP_040523482_opsin3_G_gallus,42.038,314,153,5,30,320,10,317,2.41e-81,251.0
XP_063072848.1,visual_opsin_S296,75.371,337,82,1,1,336,1,337,0.0,533.0
XP_063071576.1,visual_opsin_S148,82.584,356,62,0,1,356,1,356,0.0,630.0
XP_063071569.1,visual_opsin_S307,88.515,357,41,0,1,357,1,357,0.0,667.0
XP_063071568.1,visual_opsin_S148,82.865,356,60,1,1,355,1,356,0.0,624.0
XP_063071555.1,visual_opsin_S79,72.989,348,90,3,6,349,2,349,0.0,523.0
XP_063071554.1,visual_opsin_S221,75.0,312,78,0,6,317,2,313,2.14e-179,496.0
XP_063071553.1,visual_opsin_S221,73.099,342,87,3,6,342,2,343,0.0,518.0
XP_063071550.1,visual_opsin_S78,76.504,349,80,2,1,347,1,349,0.0,558.0
XP_063071549.1,visual_opsin_S78,79.943,349,66,3,5,349,1,349,0.0,576.0
XP_063071547.1,visual_opsin_S78,79.37,349,68,3,1,345,1,349,0.0,573.0
XP_063071546.1,visual_opsin_S77,75.072,349,83,2,1,345,1,349,0.0,540.0
XP_063071545.1,visual_opsin_S221,78.275,313,68,0,1,313,1,313,0.0,509.0
XP_063071004.1,visual_opsin_S52,77.035,344,78,1,1,344,1,343,0.0,592.0
XP_063070290.1,NP_001104634_opsin3_D_rerio,40.19,316,176,3,21,330,3,311,5.24e-81,250.0
XP_063068624.1,visual_opsin_Ischnura_asiatica_LWE1,40.728,302,171,4,19,316,25,322,2.13e-74,231.0
XP_063067842.1,XP_005996890_opsin_3_Latimeria_chalumnae,36.939,379,220,4,12,384,5,370,2.3300000000000002e-85,261.0
XP_063064870.1,visual_opsin_S53,86.006,343,48,0,1,343,1,343,0.0,630.0
XP_063063658.1,XP_037101625_Syngnathus_acus_parapinopsin_a,31.034,290,191,5,14,302,22,303,1.2999999999999999e-40,143.0
AJD38755.1,visual_opsin_S201,74.148,352,91,0,1,352,1,352,0.0,551.0
AJD38754.1,visual_opsin_S206,81.25,352,65,1,1,352,1,351,0.0,608.0
XP_050840470.1,visual_opsin_S129,99.452,365,2,0,1,365,1,365,0.0,747.0
XP_018779998.1,visual_opsin_S115,99.43,351,2,0,1,351,1,351,0.0,722.0
XP_009097607.1,visual_opsin_S115,99.43,351,2,0,1,351,1,351,0.0,721.0
XP_009096609.1,visual_opsin_S120,99.718,355,1,0,1,355,1,355,0.0,734.0
NP_001289029.1,visual_opsin_S91,97.101,345,10,0,1,345,1,345,0.0,695.0
XP_024084814.1,XP_045893023_Micropterus_dolomieu_parietopsin,35.294,272,158,5,13,283,65,319,1.01e-49,165.0
XP_024083078.1,visual_opsin_Cimex_lectularius_UV,100.0,324,0,0,30,353,1,324,0.0,665.0
XP_024081978.1,visual_opsin_Schistocerca_gregaria_LW,23.967,242,171,7,39,269,30,269,8.68e-10,55.1
XP_014244895.1,visual_opsin_S290,40.782,358,165,6,106,419,96,450,1.61e-88,274.0
XP_014244894.1,visual_opsin_S290,46.089,358,178,5,106,451,96,450,3.08e-109,328.0
XP_058873367.1,visual_opsin_S258,84.848,363,55,0,1,363,1,363,0.0,639.0
XP_033858485.3,visual_opsin_S125,79.096,354,72,1,11,362,9,362,0.0,578.0
XP_033859236.3,NP_001104634_opsin3_D_rerio,31.757,296,190,6,14,304,22,310,1.8699999999999998e-42,147.0
XP_034767254.2,visual_opsin_S227,83.38,355,59,0,1,355,1,355,0.0,615.0
XP_058872325.1,XP_033879808_Acipenser_ruthenus_parapinopsin,29.167,312,211,3,6,317,13,314,3.55e-45,156.0
XP_033911878.3,visual_opsin_S227,83.099,355,60,0,1,355,1,355,0.0,613.0
XP_058844578.1,visual_opsin_S354,89.518,353,37,0,1,353,1,353,0.0,664.0
XP_058841824.1,visual_opsin_S99,67.341,346,58,2,11,301,1,346,7.87e-168,466.0
