	Lambda_Max	Species	Opsin_Family	Phylum	Class	Accession	Mutations	RefId
S311	488.00000	Dissostichus_mawsoni	Rh2	Chordata	Actinopteri	AY771352.1		528
S312	550.00000	Xenopeltis_unicolor	LWS	Chordata	Lepidosauria	FJ497235.1		529
S313	497.00000	Xenopeltis_unicolor	Rh1	Chordata	Lepidosauria	FJ497233.1		529
S314	361.00000	Xenopeltis_unicolor	SWS1	Chordata	Lepidosauria	FJ497234		529
S315	440.00000	Sciurus_carolinensis	SWS1	Chordata	Mammalia	DQ302163		529
S316	363.00000	Sminthopsis_crassicaudata	SWS1	Chordata	Mammalia	AY442173		100
S317	533.00000	Sminthopsis_crassicaudata	LWS	Chordata	Mammalia	EU232013		100
S318	535.00000	Hasarius_adansoni	IV-RH	Arthropoda	Arachnida	AB251846.1		536
S319	486.00000	AncCetacea_sp.	Rh1	Chordata	Ancestor	AncCetacea		514
S320	500.00000	AncWhippomorpha_sp.	Rh1	Chordata	Ancestor	AncWhippomorpha		514
S321	478.00000	Rhincodon_typus	Rh1	Chordata	Chondrichthyes	XM_048606470.1		538
S322	500.00000	Stegostoma_fasciatum	Rh1	Chordata	Chondrichthyes	MT625929.1		538
S323	514.00000	Drosophila_melanogaster	IV-RH6	Arthropoda	Insecta	NM_079644.3		513
S324	504.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_Lc		517
S325	449.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_Fb		517
S326	448.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_D		517
S327	460.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_C		517
S328	455.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_B		517
S329	457.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_A		517
S330	500.00000	Chlamydera_nuchalis	Rh1	Chordata	Aves	CNUCHROD		573
S331	480.00000	Careproctus_rhodomelas	Rh1	Chordata	Actinopteri	LC050194		576
S332	498.70000	Hippopotamus_amphibius	Rh1	Chordata	Mammalia	HIPPOROD		578
S333	486.80000	Orcinus_orca	Rh1	Chordata	Mammalia	ORCAROD		578
S334	481.00000	Thamnophis_proximus	Rh1	Chordata	Lepidosauria	KU306726.1		582
S335	474.00000	Cynops_pyrrhogaster	SWS	Chordata	Amphibia	AB040148.1		585
S336	430.00000	Rana_catesbeiana	SWS	Chordata	Amphibia	AB010085.1		585
S337	499.00000	Aptenodytes_forsteri	Rh1	Chordata	Aves	XM_009283802		586
S338	497.00000	Pygoscelis_adeliae	Rh1	Chordata	Aves	XM_009320102		586
S339	499.00000	Spheniscus_demersus	Rh1	Chordata	Aves	MW288702.1		586
S340	503.00000	Nipponia_nippon	Rh1	Chordata	Aves	XM_009469932		586
S341	495.00000	Dermochelys_coriacea	Rh1	Chordata	Testudines	XM_038408468.2		586
S342	497.00000	Chelonia_mydas	Rh1	Chordata	Testudines	XM_007059947		586
S343	496.00000	Chrysemys_picta	Rh1	Chordata	Testudines	XM_008168043		586
S344	497.00000	Gopherus_evgoodei	Rh1	Chordata	Testudines	XM_030570330		586
S345	485.00000	Mirounga_angustirostris	Rh1	Chordata	Mammalia	AY228452		586
S346	496.00000	Leptonychotes_weddellii	Rh1	Chordata	Mammalia	XM_006740235		586
S347	496.00000	Zalophus_califomianus	Rh1	Chordata	Mammalia	XM_027584573		586
S348	496.00000	Odobenus_rosmarus	Rh1	Chordata	Mammalia	XM_004395657		586
S349	487.00000	Balaenoptera_acutorostrata	Rh1	Chordata	Mammalia	XM_007192608		586
S350	496.00000	Eubalaena_glacialis	Rh1	Chordata	Mammalia	JQ730751		586
S351	499.00000	SauriaAnc_sp.	Rh1	Chordata	Ancestor	SauriaAncRh1		587
S352	502.00000	ArchosauriaAnc_sp.	Rh1	Chordata	Ancestor	ArchosauriaAncRh1		587
S353	501.00000	AvesAnc_sp.	Rh1	Chordata	Ancestor	AvesAncRh1		587
S354	499.00000	AmniotaAnc_sp.	Rh1	Chordata	Ancestor	AmniotaAncRh1		587
S355	499.00000	MammaliaAnc_sp.	Rh1	Chordata	Ancestor	MammaliaAncRh1		587
S356	501.00000	TheriaAnc_sp.	Rh1	Chordata	Ancestor	TheriaAncRh1		587
S357	501.00000	PlacentaliaAnc_sp.	Rh1	Chordata	Ancestor	PlacentaliaAncRh1		587
S358	503.00000	VertebrataAnc_sp.	Rh1	Chordata	Ancestor	VertebrataAncRh1		587
S359	501.00000	GnathostomataAnc_sp.	Rh1	Chordata	Ancestor	GnathostomataAncRh1		587
S360	501.00000	OsteichthyesAnc_sp.	Rh1	Chordata	Ancestor	OsteichthyesAncRh1		587
S361	501.00000	RhipidistiaAnc_sp.	Rh1	Chordata	Ancestor	RhipidistiaAncRh1		587
S362	499.00000	TetrapodaAnc_sp.	Rh1	Chordata	Ancestor	TetrapodaAncRh1		587
S363	483.00000	Berardius_bairdii	Rh1	Chordata	Ancestor	KC676925		586
