	Lambda_Max	Species	Opsin_Family	Phylum	Class	Accession	Mutations	RefId
Bovine	500.0000	Bos_tarus	Rh1	Chordata	Mammalia	NM_001014890
S312	558.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006281	384
S313	430.00000	Anopheles_stephensi	IV-SWS	Arthropoda	Insecta	LC710140	441
S314	430.00000	Apis_cerana		Arthropoda	Insecta	AB355817	472
S315	340.00000	Apis_cerana		Arthropoda	Insecta	AB355816	472
S316	500.00000	Anopheles_stephensi	IV-Opn3	Arthropoda	Insecta	AB753162	442
S317	347.00000	Drosophila_melanogaster	IV-RH	Arthropoda	Insecta	NM_079687.3	483
S318	436.00000	Drosophilia_melanogaster	Rh-MWS	Arthropoda	Insecta	U67905.1	483
S319	345.00000	Drosophila_melanogaster	IV-RH	Arthropoda	Insecta	AF184224	123
S320	350.00000	Drosophila_melanogaster	IV-RH	Arthropoda	Insecta	AY060299	500
S321	513.00000	Limulus_polyphemus	IV-RH	Arthropoda	Merostomata	L03782.1	504
S322	357.00000	AncBoreotheria_sp.	SWS1	Chordata	Ancestor	AncBoreotheria	510
S323	364.00000	AncEuteleost_sp.	SWS1	Chordata	Ancestor	AncEuteleost	521
S324	359.00000	AncMammal_sp.	SWS1	Chordata	Ancestor	AncMammal	521
S325	360.00000	AncEutheria_sp.	SWS1	Chordata	Ancestor	AncEutheria	521
S326	371.00000	Stenobrachius_leucopsarus	SWS1	Chordata	Actinopteri	FJ443127	523
S327	355.00000	Lucania_goodei	SWS1	Chordata	Actinopteri	AY296735.1	523
S328	423.00000	Lepidopus_fitchi	SWS1	Chordata	Actinopteri	FJ443126	523
S329	359.00000	Carassius_auratus	SWS1	Chordata	Actinopteri	D85863	526
S330	360.00000	Oreochromis_niloticus	SWS1	Chordata	Actinopteri	DQ235678.1	524
S331	425.00000	Oreochromis_niloticus	SWS2	Chordata	Actinopteri	DQ235679.1	524
S332	456.00000	Oreochromis_niloticus	SWS2	Chordata	Actinopteri	DQ235680.1	524
S333	472.00000	Oreochromis_niloticus	Rh2B	Chordata	Actinopteri	DQ235681.1	524
S334	517.00000	Oreochromis_niloticus	RH2A	Chordata	Actinopteri	DQ235682.1	524
S335	528.00000	Oreochromis_niloticus	RH2A	Chordata	Actinopteri	DQ235683.1	524
S336	560.00000	Oreochromis_niloticus	LWS	Chordata	Actinopteri	DQ235684.1	524
S337	356.00000	latipes_latipes	SWS1	Chordata	Oryzias	AB223058	527
S338	561.00000	latipes_latipes	LWS	Chordata	Oryzias	AB223051.1	527
S339	562.00000	latipes_latipes	LWS	Chordata	Oryzias	AB223052.1	527
S340	502.00000	latipes_latipes	RH1	Chordata	Oryzias	AB180742.1	527
S341	369.00000	Dissostichus_mawsoni	SWS1	Chordata	Actinopteri	AY927651.1	528
S342	488.00000	Dissostichus_mawsoni	Rh2	Chordata	Actinopteri	AY771352.1	528
S343	550.00000	Xenopeltis_unicolor	LWS	Chordata	Lepidosauria	FJ497235.1	529
S344	497.00000	Xenopeltis_unicolor	Rh1	Chordata	Lepidosauria	FJ497233.1	529
S345	361.00000	Xenopeltis_unicolor	SWS1	Chordata	Lepidosauria	FJ497234	529
S346	440.00000	Sciurus_carolinensis	SWS1	Chordata	Mammalia	DQ302163	529
S347	363.00000	Sminthopsis_crassicaudata	SWS1	Chordata	Mammalia	AY442173	100
S348	533.00000	Sminthopsis_crassicaudata	LWS	Chordata	Mammalia	EU232013	100
S349	535.00000	Hasarius_adansoni	IV-RH	Arthropoda	Arachnida	AB251846.1	536
S350	486.00000	AncCetacea_sp.	Rh1	Chordata	Ancestor	AncCetacea	514
S351	500.00000	AncWhippomorpha_sp.	Rh1	Chordata	Ancestor	AncWhippomorpha	514
S352	478.00000	Rhincodon_typus	Rh1	Chordata	Chondrichthyes	XM_048606470.1	538
S353	500.00000	Stegostoma_fasciatum	Rh1	Chordata	Chondrichthyes	MT625929.1	538
S354	483.00000	Branchiostoma_belcheri	GoC	Chordata	Leptocardii	AB050606	503
S355	490.00000	Branchiostoma_belcheri	PeroOps	Chordata	Leptocardii	AB050610	503
S356	480.00000	Drosophila_melanogaster	IV-RH1	Arthropoda	Insecta	NP_524407.1	418
S357	514.00000	Drosophila_melanogaster	IV-RH6	Arthropoda	Insecta	NM_079644.3	513
S358	504.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_Lc	517
S359	449.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_Fb	517
S360	448.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_D	517
S361	460.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_C	517
S362	455.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_B	517
S363	457.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_A	517
S364	485.00000	Branchiostoma_belcheri	MOps	Chordata	Leptocardii	AB205400	472
