	Lambda_Max	Species	Opsin_Family	Phylum	Class	Accession	Mutations
S325	355.00000	Lucania_goodie	SWS1	Chordata		AY296735.1	
S326	423.00000	Lepidopus_fitchi	SWS1	Chordata		FJ443126	
S327	359.00000	Carassius_auratus	SWS1	Chordata		D85863	
S328	360.00000	Oreochromis_niloticus	SWS1	Chordata		DQ235678.1	
S329	425.00000	Oreochromis_niloticus	SWS2	Chordata		DQ235679.1	
S330	456.00000	Oreochromis_niloticus	SWS2	Chordata		DQ235680.1	
S331	472.00000	Oreochromis_niloticus	Rh2B	Chordata		DQ235681.1	
S332	517.00000	Oreochromis_niloticus	RH2A	Chordata		DQ235682.1	
S333	528.00000	Oreochromis_niloticus	RH2A	Chordata		DQ235683.1	
S334	560.00000	Oreochromis_niloticus	LWS	Chordata		DQ235684.1	
S335	356.00000	Oryzias_latipes	SWS1	Chordata		AB223058	
S336	561.00000	Oryzias_latipes	LWS	Chordata		AB223051.1	
S337	562.00000	Oryzias_latipes	LWS	Chordata		AB223052.1	
S338	502.00000	Oryzias_latipes	RH1	Chordata		AB180742.1	
S339	369.00000	Dissostichus_mawsoni	SWS1	Chordata		AY927651.1	
S340	488.00000	Dissostichus_mawsoni	Rh2	Chordata		AY771352.1	
S341	550.00000	Xenopeltis_unicolor	LWS	Chordata		FJ497235.1	
S342	497.00000	Xenopeltis_unicolor	Rh1	Chordata		FJ497233.1	
S343	361.00000	Xenopeltis_unicolor	SWS1	Chordata		FJ497234	
S344	440.00000	Sciurus_carolinensis	SWS1	Chordata		DQ302163	
S345	363.00000	Sminthopsis_crassicaudata	SWS1	Chordata		AY442173	
S346	533.00000	Sminthopsis_crassicaudata	LWS	Chordata		EU232013	
S347	535.00000	Hasarius_adansoni	IV-RH	Arthropoda		AB251846.1	
S348	486.00000	AncCetacea_sp.	Rh1	Chordata		AncCetacea	
S349	500.00000	AncWhippomorpha_sp.	Rh1	Chordata		AncWhippomorpha	
S350	478.00000	Rhincodon_typus	Rh1	Chordata		XM_048606470.1	
S351	500.00000	Stegostoma_fasciatum	Rh1	Chordata		MT625929.1	
S352	483.00000	Branchiostoma_belcheri	RhG	Chordata		AB050606	
S353	490.00000	Branchiostoma_belcheri	RhG	Chordata		AB050610	
S354	480.00000	Drosophila_melanogaster	IV-RH1	Arthropoda		NP_524407.1	
S355	514.00000	Drosophila_melanogaster	IV-RH6	Arthropoda		NM_079644.3	
S356	504.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_Lc	
S357	449.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_Fb	
S358	448.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_D	
S359	460.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_C	
S360	455.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_B	
S361	457.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_A	
